Script#1 //둘째 줄부터 Parsing하므로 첫줄은 아무 내용이나 채울 것			
*	BG	PartyRoom	
*	BGM	BGM_Peace	
blank	-	<color=yellow>518 IC(Imperial Calendar) 1/18, the Royal Ballroom</color>	
*	Tutorial	Dialogue
blank	-	The music from the royal band could barely conceal the awkward silence of the banquet. 	
blank	-	Royal servants, sensing the uncomfortable atmosphere, pretended to keep their focus on their current tasks. 	
reina	-	(You cannot expect foes getting together just by putting them in one place.)	
*	Glos	핀토스 공작가1
*	Tutorial	Glossary
blank	-	As if the quote 'for the unity of <color=red>two families</color>' on the invitation is merely a ridicule, ^the attendees responded only to their clan members, like oil and water. 	
*	Glos	툼나1
reina	-	(There is still plenty of time until the presence of the <color=red>Emperor</color>.)	
yeong	-	No suspicious moves so far. 	
yeong	-	Enemy is everywhere as long as the Haskells are present. ^We should always remain alert and check for anyone suspicious. 	
eren	-	They are fettered to their reputation, ^so the scenario of their wielding swords and slaying us at this Royal Ballroom is improbable. 	
*	Glos	영1
*	Glos	에렌 오블리비언1
reina	-	It is a rare occation, so why don't you blend into other people ^of the <color=red>Pintos</color> clan? ^You will be working with these knights anyways.  	
yeong	-	……I will try. 	
*	SE	Walk
*	Glos	레이나 닐 핀토스1
kashasty	-	Aah, <color=red>Duchess of Pintos</color>, your highness, you are here.	
*	Glos	카샤스티 루나 러브레이스1
*	Glos	러브레이스 후작가1
reina	-	Oh, you have arrived, <color=red>Kashasty</color>.	
kashasty	-	Preparing an adequate attire has had the departure postponed, ^causing my arriving later then expectation. ^Nonetheless, I am blessed to be innocent from the discourtesy of appearing after his majesty' entrance. 	
blank	-	With Hands modestly folded and a graceful bow, ^Kashasty have greeted Reina with an unusually formal attitude.	
reina	-	You don't have to be this formal in front of me. ^Only in front of the Emperor is your formalness necessary, isn't it? 	
kashasty	-	This is a factitious fashion of mine, an heritage of Lovelace. ^Maintenance of sharpness in an immaculate performance is critical.	
kashasty	-	Any slight circumstance of discourtesy in presence of his majesty is intolerable, as it may disrepute your highness.	
blank	-	Conscious speech and gesture of Kashasty must have called her trauma of her enslaved past.  	
