Scene#1-1			
*	BG	MeetingRoom	
*	BGM	BGM_Frustration	
*	Gray		
daimon	-	큭, 당신, 감히 이런 짓을……!
*	Tutorial	Dialogue	
blank	-	눈앞에서 아빠가 피에 젖어 죽어가고 있다. 그것도 한 집에 사는 삼촌의 손에.
reina	young	아빠? 아빠……?!
delphi	-	자네가 자초한 일이니 원망하지 말게. 이건 모두 누님을 위해서야.
daimon	-	입 발린 소리 집어치워! 필리아는 레이나가 마법 따위 모르고 행복하게 살아가길 바랐으니까……!
delphi	-	레이나에게 마법을 가르치지 않겠다니 무슨 터무니없는 소릴.^누님이 말년에 판단력이 흐려져서 자네의 충동질에 넘어갔을 뿐이야.
delphi	-	저 아이의 엄청난 잠재력을 썩히겠다니,^그건 마술사 가문인 핀토스 가 전체에 죄를 짓는 일일세.
reina	young	저, 저는…….
delphi	-	레이나. 이제부터는 내가 네 아비가 되어 너를 최강의 마술사로 만들어 주마.
delphi	-	잊지 말거라. 예로부터 핀토스의 영광은 오직 강한 힘으로부터 왔다는 것을.
delphi	-	약한 자는 패배하고 죽어 사라질 뿐이다. 마치 네 동생과 눈앞의 이 어리석은 인간처럼.
blank	-	그 말은 아무리 시간이 지나도 내 머릿속에서 떠나지 않았다.
*	FO		
*	BG	PartyRoom	
*	BGM	BGM_Pintos	
*	Colorful		
*	FI		
blank	-	<color=yellow>제국력 518년 1월 18일, 황궁 연회장</color>	
*	App	left	reina
*	Glos	유니티 제국1	
*	Tutorial	Glossary	
blank	-	붉은 마법진의 정중앙에 푸른 날개가 달린 검이 꽂혀 있고, 그 주변을 황금색 도형이 둘러싸고 있는 휘장이 비어있는 단상 앞에 힘없이 늘어져 있었다. 각각 <color=red>유니티 제국</color>을 세우는 데 기여한 세력을 의미하는 상징.	
reina	-	(옛날에는 다같이 협력하던 시절도 있었던가.)	
*	Glos	핀토스 공작가1	
blank	-	붉은 마법진에 해당하는 우리 <color=red>핀토스 가</color>를 포함해서,^건국 공신 가문들이 다시 모였지만 분위기는 전혀 좋지 않다.	
reina	irritated	(대놓고 우리를 적대하는데 그냥 모아두면 저절로 친해질 거라고 생각한 건 아니겠지. 뭘 꾸미는지 몰라도 하여튼 귀찮게…….)	
blank	-	핀토스의 영광은 강한 힘으로부터 왔다, 부지런히 갈고 닦아야 한다…….^평생을 지켜 온 가르침을 다시금 새겼다.	
