Script#10-1			
*	BG	MeetingRoom	
*	BGM	BGM_Normal	
blank	-	<color=yellow>제국력 518년 1월 30일, 제국 서부 셀리안, 공업도시 마뉴부르크</color>
blank	-	고생 끝에 루키어스 하스켈의 지인이라는 대장장이의 거처에 도착했다.
karldrich	-	(조직에는 행선지를 전달해 뒀으니, 곧 접선하러 오겠지.)
schmidt	-	허어, 모나폴리부터 변변한 마차 하나 없이 여기까지 오시다니.^먼 길 고생이 많으셨겠습니다.
lucius	-	아니, 별 말씀을요. 쫓기는 처지가 되어 폐를 끼치러 왔는데도 내치지 않고 받아주시니 감사할 따름이죠.
schmidt	-	제가 하스켈 공작께 받은 은혜에 비하면 아무것도 아닙니다.^그런데 옆의 분께서는……?
karldrich	-	본인은 칼드리치 아돌이라고 하오.^지금은 루키어스 하스켈의 동맹이라고 해 두겠소.
schmidt	-	알겠습니다. 고용인들에게 적절한 방을 청소하고 식사를 준비하라 일러둘 테니, 잠시 자리를 비우는 실례를 용서하시길.
*	SE	Door
blank	-	집주인은 그렇게 말한 뒤 자리를 비웠다.
*	BGM	BGM_Prelude	
*	SE	Push	
karldrich	-	야, 근데 진짜 괜찮은 거지? 설마 이 양반이 너 팔아넘기고 현상금 타먹으려고 하는 건 아니겠지?
lucius	-	전국시대 영웅전에는 도망자의 일화가 실려 있지.^쫓기던 두 사람이 믿을 수 있는 친구의 집에 묵었는데…….
karldrich	-	알아. 자리를 비우길래 밀고하려는 줄 알고 집안 사람들을 모두 죽였는데,^알고 보니 성대한 만찬을 대접하려고 했더라는 이야기잖냐.
blank	-	영웅전이라…… 열 살 넘어 뒤늦게 글공부를 시작한 지 얼마 안 돼서 고생하며 읽은 기억이 난다.
blank	-	솔직히 악질 기득권자들이지만 세상을 호령하던 놈들의 이야기는 꽤 설레긴 했다.
blank	-	물론 스승님께서는 성에 처박힌 채 민중의 모가지나 수만 개씩 갈아서 정복욕을 채우던 잡배놈을 영웅이라고 부르면 안 된다고 호통을 치긴 했지만.
lucius	-	그 일화를 안다면 내가 무슨 뜻으로 한 말인지도 알겠군.
karldrich	-	야, 내가 지금 죽여 없애자는 게 아니잖아.^있을 수 있는 상황을 대비해서 긴장은 놓지 말라는 거지.
lucius	-	내게 신뢰받는 상대를 믿지 못한다면 그쪽이나 실컷 경계하시지.
blank	-	단순하고 고집 센 성격.^이런 녀석에게 생존에 필요한 경각심을 갖게 하는 건 힘들 것 같다.
karldrich	-	(정찰도 혼자 하는 수밖에 없겠군.)
blank	-	방 안을 전체적으로 훑어봤다. 장인으로서의 역량을 전시하듯 진검이 여러 자루 걸려 있었고, 한쪽에는 벽난로가 방을 덥히고 있었다.
karldrich	-	그래 그래, 됐다 짜식아. 그나저나 집이 거의 저택 수준이군.^게다가 고용인까지 있다니, 이거 평민 맞아?
lucius	-	한 자루도 빠짐없이 직접 제작한 명검으로 얻은 수입이지.
karldrich	-	그걸 너 같은 금수저들에게 팔아 평민들 등골 빼먹은 돈을 받아 챙겼다는 이야기군.
lucius	-	……지금 시비 거는 건가?
karldrich	-	어허, 천만에. 평생 체제에 안주하며 물들어버린 네 생각을 씻어주기 위한 충격요법이라고? 이봐, 이 세상은 말이지……
*	SE	Door
schmidt	-	허허, 오래 기다리셨습니다.^곧 식사가 준비될 테니 잠시 차라도 들고 계시지요.
blank	-	생각보다 빨리 돌아왔다. 괜찮을 것 같기는 하지만 혹시 모르니 저택 주변도 좀 돌아볼까.
karldrich	-	아, 고맙소만 본인은 잠시 바람이라도 쐬고 오겠소.^곧 돌아올 테니 걱정 마시오.
schmidt	-	그러시지요.
blank	-	슈미트란 양반은 빙긋 웃기만 했다.
*	FO		
*	BG	PartyRoom	
*	FI		
blank	-	적당히 둘러대고 빠져나온 나는 저택 주변을 훑어본 후, 저택 내부를 수색했다.
blank	-	조직에서 보낸 공작원이 도착하기도 전에 붙잡혀버리면 낭패니까.
karldrich	-	(침실 같은 곳은 함부로 들어가면 입장이 곤란해지겠지.^적당히 갈 수 있는 곳들만이라도 확인하자.)
*	BGM	BGM_Tense
?blank	-	거기, 누군데 남의 집에서 어슬렁거리고 있는 거야!
blank	-	주변 탐색에 몰두하고 있었는데, 뒤에서 날카롭지만 앳된 여자의 목소리가 들려왔다.
curi	-	……움직이지 마.^잘못하면 죽거나 평생 흉측한 몰골로 살게 될 수도 있어.
blank	-	돌아보자 웬 어린애가 작은 약병을 들고 진지하게 날 위협하고 있었다.
karldrich	-	……그건 뭐냐?
*	Glos	큐리 디아즈1	
curi	-	<color=red>또</color> 돈을 바라고 나쁜 짓을 하러 온 거라면 헛수고야.^어차피 그 사람은 날 그렇게 신경 쓰는 위인도 아니라니까 그러네…….
curi	-	무엇보다, 이제 난 스스로를 지킬 수 있어.^이 안에는 닿으면 살이 녹아내리는 위험한 약이 들어 있거든.^다가오면 집어던질 거야.
karldrich	-	세상에 그런 약이 어디 있냐?
