Script#10-2			
*	BG	RockMountain_Night	
*	BGM	BGM_Solve	
karldrich	-	이거 싸우는 것보다 손대중하는 게 더 어렵구만!^그렇게 날뛰다 재수없으면 엉뚱한 데 맞아서 훅 간다?
blank	-	자기들에게 사용가치가 없는 광석을 주로 노렸다면 틀림없이 뒷거래 상대가 있을 터.
blank	-	그놈을 찾는다면 장물을 거래한 죄를 물어 그동안의 손실을 배상하게 할 수 있을 것이다.
karldrich	-	(이왕 하는 거, 주인 양반에게 확실한 빚을 지워서 하스켈 놈이 귀찮은 일을 더 떠맡지 않게 하는 게 낫겠지.)
lucius	-	이 산에 그들의 수가 얼마나 되는지 확실하지 않습니다.^섬멸은 마음만 먹으면 언제든 가능하니 마지막 수단으로 남기도록 하죠.
karldrich	-	알아, 짜식아. 죄다 죽이거나 불구로 만들어놓으면 저쪽 감정이 상해서 평화적으로는 못 끝내겠지.
furryElder	-	이런, 오만한 인간들이……!
karldrich	-	사실이잖아? 너희의 공격은 우리에게 전혀 통하지 않아.
*	SE	PullSword
blank	-	적 하나가 말이 오가는 사이를 틈타 신경쓰지 못한 큐리를 노리고 달려들었다.
karldrich	-	(이런, 인질극을 벌일 셈인가……!)
*	SE	BreakingGlassAndFire	
curi	-	꺄아아아아아아아앗!
blank	-	큐리가 들고 있던 호리병을 온 힘을 다해 집어던지자, 깨진 파편이 튀고 안에 있던 액체가 쏟아졌다.
blank	-	상대는 액체를 맞은 얼굴을 감싸쥐고 쓰러져 굴렀다.
furryElder	-	크아아아아……!
curi	-	우……. 까, 깜짝이야……!
karldrich	-	휴, 다행이군. 꼬맹이도 제법 하잖아?
lucius	-	이토록 비열한 방식으로 나오다니, 내 인내심을 시험하는군.
blank	-	루키어스가 칼자루를 고쳐 잡고 의지를 불태우던 도중, 옆에서 누군가가 나타났다.
*	BGM	BGM_Normal
?yucrrem	-	대신 사과드립니다. 우리 백성을 향한 적대 행위를 멈춰 주십시오.
furryElder	-	오오, 대신관의 전령이시여. 저희가 부족한 탓에 이렇게…….
?yucrrem	-	제가 지시했습니다. 이 마을로 향하는 광석 공급을 방해하라고.
?yucrrem	-	근거지를 지속적으로 바꾸고, 토벌하러 온 관군은 상대하지 말라고 해 뒀지만 이거야 원…….
?yucrrem	-	여러분의 실력이 뒷받침하지 않고서는 불가능했던, 멋진 함정에 걸렸군요.
lucius	-	아부는 필요 없어. 강도 짓을 시킨 이유가 뭐지?
*	BGM	BGM_Prelude
?yucrrem	-	루키어스 하스켈, 반역 혐의를 받고 있는 제국의 공적이여.^전 당신의 친구입니다. 정확히는 적의 적이라고 해야겠군요.
blank	-	그가 머리를 덮고 있던 두건을 풀자, 수인 특유의 모양을 띤 귀가 모습을 드러냈다.
yucrrem	-	정식으로 제 소개를 하죠. 유니티 제국령 자치국 플레이아데스 소속 정보원이자 비밀결사 인터내셔널의 일원, 유크렘입니다.
karldrich	-	엥? 우리 조직에 수인족도 있었단 말이야?
yucrrem	-	저희 민족의 정확한 명칭은 수인족이 아니라 스텔라리엔이지만…….
yucrrem	-	후우, 그쪽이 익숙하다면 그러시죠.^인간들 사이에서 그렇게 부르는 건 잘 알고 있으니까.
blank	-	반쯤 체념한 목소리였다.
yucrrem	-	우리 플레이아데스는 유니티 제국이 자바 연방 공화국에 선전포고할 예정이라는 첩보를 입수했습니다.
lucius	surprised	이미 외국까지 퍼져나갔던가?
yucrrem	-	역시 최근까지 제국 중앙 정계에 계시던 분답게 알고 계시는군요^이 도시에서 만들어지는 건 그 전쟁을 위한 군수품입니다.
yucrrem	-	……루키어스 하스켈. 당신은 검이 방어수단이자 구도의 길잡이라고 여기겠지만, 곧 남들에게는 그렇지 않게 되겠지요.
curi	-	흥, 칼 만드는 데 미쳐서 가족이고 뭐고 죄다 내팽개치는 사람도 있을 정도니까요.
karldrich	-	(꼬맹이 주제에 빈정대는 솜씨 하나는 끝내주는구만.)
lucius	-	…….
karldrich	-	그래서 광석 조달을 방해하도록 했다 이 말씀?
yucrrem	-	그렇습니다. 유니티는 자바보다 국가의 규모도 크고, 상당한 기간에 걸쳐 전쟁을 준비해온 만큼 조금이라도 힘을 빼둬야 하니까요.
yucrrem	-	우리는 이번 전쟁을 유니티로부터의 독립을 쟁취할 기회로 인식하고 있습니다.
lucius	-	그렇다면…… 너, 조직 운운하더니 처음부터 날 이렇게 끌어들일 생각이었군.
karldrich	-	크크, 당연하지. 너로서도 혼자 돌아다니는 것보다 훨씬 낫지 않겠어?
