Script#12-2			
*	BG	RockMountain_Night	
*	BGM	BGM_Sad	
blank	-	적들은 한 명도 빠짐없이, 죽을 때까지 결코 물러서지 않았다.
curi	-	끄, 끝났나요?
json	-	……어째서 그냥 돌아가지 않았단 말이냐. 얼마든지 살 수 있었던 것을.
blank	-	단 한 명을 제외한 모든 적이 죽었다.
blank	-	마지막 한 명은 머리에서 흐르는 피가 눈을 가리는지,^한쪽을 감은 채 다른 한 쪽으로 이쪽을 노려보며 대답했다.
eichmann	-	네놈을 두고 싸우지도 않은 채 그냥 돌아갔다면,^그 순간 국민으로서의 우리는 죽었을 것이다.
lucius	-	…….
eichmann	-	나는 여기까지인가 보군. 위대한 유니티에 번영 있으리.
karldrich	-	번영은 얼어죽을. 지배 계급이 생산수단을 독점하기 위한 폭력의 집합체인 국가를 뭔가 대단한 거라고 생각하나 보지?
eichmann	-	이단 반역자의 기괴한 헛소리를 들은 생각은 없다. 죽여라.
karldrich	-	흥, 지배이념에 경도된 줄도 모르니 벗어날 생각조차 못 하는군.^유언은 끝났냐?
json	-	잠깐, 그 녀석만이라도 살려 다오. 부탁하마.
karldrich	-	무슨 소리야? 이놈은 전혀 들어먹을 생각조차 하지 않는 적이라고.
lucius	-	당신, 정말로 우리와 함께할 셈인가?
json	-	……물론이다. 하지만 생각이 다를지라도 나는 상관이자 동료로서 이들을 아꼈어.
json	-	마지막 한 사람까지, 하다못해 정당한 싸움이 아닌 내 배신 때문에 죽게 만들고 싶지는 않아.
eichmann	-	후후, 내가 사람을 잘못 봐도 단단히 잘못 봤군.
eichmann	-	역겨운 위선자 놈, 이제 와서 양심을 찾는 거냐?^선량한 척 가장해봤자 네게 남은 미래는 죽음뿐이다!
karldrich	-	라는데? 살려 보내면 결국 우리에게 칼을 겨눌 게 뻔하다고.
blank	-	하스켈은 그 말에 눈을 감고 한참 동안 끙끙대며 생각하더니 나지막하게 대답했다.
lucius	-	하지만 새 동료의 생각을 존중하는 것도 중요하지 않겠나?
curi	-	어찌 됐든 빨리 결정하고 돌아가자고요.^피비린내나는 곳에서 오래 머물고 싶지는 않아요.
karldrich	-	뭐, 그럼 됐어. 우리의 적은 제국이다. 졸개 한 놈에게 얽매일 필요는 없지.
eichmann	-	……반역자 자식들, 후회할 거다.
*	SE	Walk
blank	-	그는 이를 갈면서도 비틀거리며 멀어져 갔다.
*	App	right	triana
curi	-	저 사람은 어떻게 할 건가요? 아니, 일단 그 전에, 누구죠?
blank	-	꼬마는 팔을 똑바로 뻗어 조그마한 손으로 검지를 세운 채,^수상한 두건을 쓴 녀석을 가리키며 그렇게 물었다.
triana	-	……?
blank	-	그러자 그에 반응하듯 꼬마 쪽을 바라보더니 가볍게 인상을 썼다.
json	-	포로다. 하스켈이라면 알겠지만 핀토스 쪽 인간이지.^제대로 된 의사소통이 불가능한 것 같더군.
lucius	-	…….
karldrich	-	이봐, 맹한 친구. 우리와 함께 세상을 바꾸는 혁명에 참여할 생각 없어?^어차피 갈 곳도 없잖아?
triana	-	으, 어…….
blank	-	갈라진 목소리를 쥐어짜내더니 포기하고 그냥 고개를 끄덕였다.
karldrich	-	뭐야, 벙어리구만. 다행히 말은 알아듣네.
lucius	-	여하튼 돌아가도록 하지. 디아즈 씨와도 상의할 일이 많이 생겼으니.
*	Era
