Script#13-2			
*	BG	RockMountain_Snow	
*	BGM	BGM_Urgent	
yeong	-	……허억, 허억.
lenien	-	저 사람, 상태가 위험해 보이는데요?! 어떻게든 하지 않으면……!
grenev	-	크큭, 제법인데?
blank	-	결국 탄환이 다 떨어졌다. 치명상은 아니었던 것 같지만 몇 발을 맞혔고,^적들의 움직임은 꽤 둔해져 있었다.
*	SE	DropMetal	
grenev	-	그럼 숨통을…… 윽.
blank	-	기세 좋게 단도를 꺼내다가 떨어뜨렸다. 
blank	-	잘 숨었다고 생각했는데도 엄폐를 무시하고 들어온 검은머리 마법사의 주문에 몇 번 맞았던 탓일까. 감각이 평소같지 않다.
grenev	-	(그냥 따끔할 뿐 눈에 띄는 피해가 없어서 신경 안 썼는데,^이런 주문도 있었나?)
*	SE	Fire	
reina	shout	하앗!
*	SE	EtherMissile	
darkenir	-	소용없다!
blank	-	레이나 핀토스의 공격은 달케니르가 자신의 무기로 쏘아 맞히면서,^너무 가까이 오기 전에 적절히 막아주고 있다.
grenev	-	그런데 비앙카는 뭘 하고 있지?
*	SE	PamaLight	
bianca	yell	완성이다! 이제 마법진이 이 일대의 마력을 빨아들일 거야!
grenev	-	그럼 달케니르도 못 싸우는 거 아냐?
darkenir	-	닫힌 계의 에테르 총량은 보존된다. 즉 마법진 중심부의 에테르 농도는 매우 높다는 말인데…….
grenev	-	아아, 그만! 뭐라는지 모르겠지만 괜찮으면 됐어.
*	SE	Destiny	
blank	-	단도를 주워 들고 다가가서 싸우려던 순간, 옆 방향에서 난데없는 악기 소리가 들려왔다.
blank	-	음악이나 감상할 때는 아니지만 상당한 실력의 현악기 연주였다.
*	SE	BlackArrow	
blank	-	정신이 팔린 사이, 뾰족한 검은 빛무리가 일렁이며 이쪽을 향했다.^달케니르는 모두 흡수하며 어렵지 않게 흘려보냈다.
darkenir	-	흥, 무슨 수작을!
blank	-	순간 온몸이 떨리는 오한을 느꼈다.^겨울 날씨라서 그런 게 아니라 진짜로 심장이 얼어붙을 정도였다.
bianca	shout	몸이 생각대로 안 움직여……!
darkenir	-	당황하지 말거라. 이런 종류의 마법은 시간이 지나면 저절로 풀린다.
eren	-	그 악기 좀 치울 수 없냐? 평생 기습은 꿈도 못 꾸겠다, 야.
luvericha	-	……안 돼.
blank	-	소리가 들려온 방향에서 나타난 것은, 연회장에서 본 적 있는 두 사람이었다.
lenien	-	어, 음, 고맙지만 그쪽은 누구죠? 이번에도 핀토스 씨의 동료 분?
reina	-	아니, 한 명은 아닌 것 같……
eren	-	운이 좋았다고 생각하라고. 신호를 하루만 늦게 보냈다면 이미 내가 그 반지를 바다에 던져버린 후였을 테니까.
luvericha	-	적의 움직임이 많이 둔해지겠지만 효과는 그다지 오래가지 않아요!^일단 따돌리죠!
yeong	-	아니, 그렇다면, 오히려, 해치울, 기회가……!
blank	-	악기를 든 여자는 반론에도 아랑곳않고 앞장서서 도망쳤다.
reina	-	그러고 싶지만, 네 상태가 너무 나빠 보여. 당장이라도 쓰러질 것 같다고.
yeong	-	…….
bianca	-	젠장, 도망치지 마! 비겁한 반역자 자식들이!
blank	-	뒤를 쫓으려 했지만 점점 거리는 벌어졌고 이윽고 시야에서 사라지고 말았다.
grenev	-	……쯧.
blank	-	잡지 못했다는 아쉬움과, 극상의 쾌락이 아직 남아있다는 기대감 사이에서 복잡미묘한 기분으로 돌아올 수밖에 없었다.
*	Era
