Script#14-1			
*	BG	Dark	
*	BGM	BGM_Tense	
*	App	left	kashasty-surprised
blank	-	<color=yellow>제국력 518년 1월 31일, 모나폴리 중앙 광장</color>
blank	-	온몸이 묶이고 눈이 가려진 채, 받침대 위에 올라가 죽음만을 기다리고 있었다.
blank	-	…….
blank	-	공개 처형. 몇 번인가 러브레이스 가문 사람들과 함께 본 적이 있었다.
blank	-	발밑의 받침대가 사라지는 순간, 켁켁거리며 목에 걸린 밧줄을 붙잡고 발버둥치지만……
blank	-	얼마 지나지 않아 부푼 얼굴로 혓바닥을 빼물고 아래로는 오물을 쏟아내며 축 늘어지는 모습.
blank	-	그때 들었던 생각은, 연민도, 공포도 아니었다.
blank	-	'나와는 상관없는 일'이고, 저런 징그러운 걸 왜 일부러 찾아가 보는지 모르겠다는 생각뿐이었다.
*	Quiver	On	
kashasty	kashasty-surprised	(나도, 그런 꼴이 된다고?)
blank	-	기억 속 영상에 나를 대입하자 그것은 몸서리쳐지는 끔찍함으로 다가왔고, 머릿속은 새하얗게 변해 아무 생각도 들지 않았다.
*	Quiver	Off	
*	BGM	BGM_Urgent
*	SE	Bomb	
???	-	공격! 목표물을 확보해라!
*	SE	Push
blank	-	턱, 하고 묵직한 부자유의 감각이 느껴지며 중력이 느껴지는 방향이 바뀌었다. 누군가가 나를 둘러멘 것 같다.
kashasty	surprised	(대체 누가…… 잠깐, 그럼 살 수 있는 거야?)
???	-	습격이다! 지원을 요청해!
???	-	뭐야! 잔당은 모두 도심 밖으로 도망쳤다고 들었는데!
???	-	……이 힘, 정말로 정령이 없어도 쓸 수 있는 거였단 말이지.
???	-	베벨! 곧 잔뜩 몰려올 거다!
???	-	이 열등한 야만인 놈이……!
???	-	별 거 아냐! 주변의 흙으로 눈을 가릴 뿐 살상력은 없……!
*	SE	Fire	
???	-	멍청한 놈들, 요정은 마법을 쓰지 못한다고 누가 그러던?
???	-	위험해!
*	SE	Run
blank	-	힘없이 축 늘어진 내 몸은 불규칙하게 흔들렸고, 다급한 소리들이 조금씩 멀어지며, 정신도 함께 흐려져 갔다.
*	FO		
*	Gray		
*	BG	MeetingRoom	
*	BGM	BGM_Normal	
*	FI		
*	App	left	kashasty-surprised
blank	-	<color=yellow>제국력 518년 1월 31일, ???</color>
blank	-	묶여 있던 몸이 풀리고, 시야가 돌아왔다. 아직도 팔다리가 바들바들 떨리고, 심장이 쿵쾅대는 소리가 밖으로 들릴 것만 같다.
unknown	-	괜찮습니까? 러브레이스 동지.
kashasty	surprised	……아아. 겨, 경황이 없지만 우선 감사부터 드리는 것이 합당한 예절이겠…… 욱.
blank	-	순간적으로 긴장이 풀리면서 속이 메슥거린다. 괜찮다, 괜찮다…….
unknown	-	아직 상태가 좋지 않아 보이는군요. 하기야 사형수를 곱게 다루진 않았을 테니 당연합니다만.
kashasty	-	(처음 보는 사람. 날 구해 준 사람일까?)
unknown	-	약초 중에서도 향이 좋은 편이죠. 좀 진정이 될 겁니다.
blank	-	김이 피어오르는 찻잔을 가볍게 밀어서 내놓는 상대에게 궁금한 점부터 물었다.
kashasty	-	당신들은 누구고, 여긴 어디죠?
blank	-	문득, 본론으로 들어가기 전에 자기소개를 하는 것을 잊었다는 사실이 떠올랐다.
kashasty	-	(어차피 내 이름은 알고 있었던 것 같고……)
blank	-	무엇보다, 그런 걸 일일이 챙기기엔 정신이 너무나도 피곤했다.
unknown	-	유니티 제국이, 그리고 유니티 제국을 적대하는 사람들의 모임이라고만 해 두죠.
kashasty	-	그렇다면, 저를 구해낸 목적은……?
*	BGM	BGM_Haskell	
unknown	-	러브레이스 동지, 그리고 나아가서는 동지의 무리를 우리 조직의 상징으로 삼겠습니다.
blank	-	상대는 그 말을 기다렸다는 듯, 미소를 지으며 힘이 들어간 목소리로 대답했다.
kashasty	surprised	……조직이라뇨? 상징? 제가요?
bebel	-	정식으로 소개하죠.
bebel	-	한 줌 권력자뿐이 아닌 모두가 행복한 세상, 진정한 신 뮤의 가르침을 유니티 제국에 실현하기 위한 비밀결사 인터내셔널.
bebel	-	저는 인터내셔널의 모나폴리 지부장 베벨입니다.
bebel	-	참으로 오랜 인내 끝에 결전의 준비는 끝났습니다.^최근의 활동으로 저들도 우리의 존재를 어렴풋이 눈치챘겠죠.^드러낼 때가 온 것입니다.
bebel	-	그러나 실제 지도자가 누구인지는 지부장인 저로서도 알지 못할 만큼 철저히 베일에 싸여 있습니다. 붙잡혀도 피해가 확산되지 않도록 하기 위한 보안 대책이죠.
bebel	-	하지만 우리의 메시지를 사람들에게 효과적으로 전하기 위해서는 얼굴을 드러낼 대표자로서의 역할도 필요한 법.
kashasty	-	……그것을, 제게 맡기겠다는 말씀이신지요.
bebel	-	하스켈과 핀토스, 한때 체제의 최심부에 속했던 자들. 지금은 그들조차 폭정의 희생양이 되어 진실을 깨닫고 저항군의 지도자가 되었다.
bebel	-	민중들에게는 꽤나 먹히는 서사가 아니겠습니까?
kashasty	surprised	(체제? 민중? 설마, 이 사람들…….)
blank	-	세상에 불만만 품고 혼란을 일으키는 자들. 풍문으로만 듣던 불순분자들이었다.
kashasty	-	(하필이면 목숨을 구해준 게 이런 자들이라니.)
blank	-	옛날이라면 몰라도 더 이상 신분은 절대적이지 않다. 러브레이스 가문도 투자로 부를 쌓아서 후작까지 됐고, 어셈블리 가처럼 아예 평민에서 귀족 지위를 얻어낸 경우도 있다.
blank	-	바로 나부터 가문을 벗어나서 핀토스의 가신이 됐다. 능력과 노력만 받쳐주면 부와 명예는 얼마든지 얻을 수 있는데 대체 뭐가 문제란 말인가?
kashasty	thinking	…….
blank	-	불순분자들의 도구가 되어 움직이는 건 별로 내키지 않지만, 생명의 은인이 하는 요구를 거절한다는 부담은 견디기 힘들다.
kashasty	-	(……거절해봤자 갈 곳도 없잖아? 다시 처형대로 올라가긴 싫어.)
blank	-	이 상황에서는 고개를 끄덕일 수밖에 없었다.
bebel	-	잘 생각하셨습니다. 동지는 다른 동지들과 함께 앞장서 싸워 주시기만 하면 됩니다. 나머지는 저희가 알아서 할 테니까요.
kashasty	-	그럼 전 어디서, 누구와 싸워야 하는 거죠?
bebel	-	위치는 알체스의 종탑입니다. 그곳에서 황제의 명령에 따라 새로운 에테르 정제법을 연구하고 있다는 정보를 입수했습니다.
