Script#28			
*	BG	Library	
*	BGM	BGM_Solve	
kashasty	surprised	끄, 끝났군요.
blank	-	어떻게 싸웠는지 기억도 가물가물하다. 정신을 차리고 나자 마지막 상대에게 총구를 겨눈 채 손을 파르르 떨고 있었다.
kashasty	surprised	(……안 돼, 당길 수 없어. 이제 괜찮잖아?)
flamel	-	큭, 인류의 삶을 바꿀 발견이 이렇게……!
eren	-	걱정 말라고. 네가 죽어도 세상은 계속, 영원히 발전하니까.
kashasty	-	……이렇게까지 해야만 하는 걸까요? 이들은 자기 역할에 충실했을 뿐이잖아요.
yeong	-	핵심은 이들의 머릿속에 여전히 남아 있을 겁니다.
eren	-	자료가 사라져도 몇 번의 시행착오를 거치면 복원하는 건 금방이지.^확실하게 시간을 벌려면 관계자들을 하나라도 더 없애버려야 해.
blank	-	마치 벌레를 죽이는 것보다 간단한 것처럼 태연하게 말하고 있었다.
lenien	-	음, 아무래도 죽여서 입막음을 하는 방식은 저도 내키지 않는군요.
reina	shout	결단은 빨리! 그럼 저 사람들은 놔두고 일단 빠져나가죠!
eren	-	크크, 역시 평범한 인간의 판단이란 형편없군. 제대로 된 이유도 없이 기회를 내다 버리다니.
*	FO		
*	BG	MeetingRoom	
*	BGM	BGM_Pintos	
*	FI		
blank	-	<color=yellow>제국력 518년 2월 6일, 연금술의 도시 알체스, 인터내셔널 은신처</color>
yucrrem	-	이분들이 러브레이스 동지의 동료들이군요.
kashasty	-	네. 부탁하신 일은 끝냈지만 인사도 없이 사라져버리는 건 도리가 아닌 것 같아서…….
reina	-	핀토스의 기사에게 호의를 베풀었다 들었소. 감사를 표하지.
yucrrem	-	흐음. 계획과는 달라졌습니다만…… 결과적으로는 더 잘 됐군요.^덕분에 핀토스 분들과도 접촉하기 위한 수고를 덜었습니다.
blank	-	스스로를 조직의 활동가 중 하나라고 소개한 그는 미소를 지으며 말했다.
eren	-	접촉이라고?
yucrrem	-	그렇습니다. 저희는 여러분과 협력 관계를 원하고 있으니까요.
lenien	-	오면서 러브레이스라는 분께 얼핏 듣자니, 당신들은 뮤를 따르는 비밀결사라고요?
yucrrem	-	……너무나도 많은 사람들이 공포정치와 과도노동에 시달리고 있습니다.^이제 체제를 바꾸는 것밖에는 방법이 없습니다.
lenien	-	그렇다면 결국 이 나라도 마찬가지였다는 건가…….
blank	-	낯선 이는 크게 낙담한 표정으로 혼자서 중얼거리더니 입을 다물었다.
kashasty	-	(어쨌든 이젠 됐어. 한 건은 해줬으니 더 이상 엮이지 않는 게 최선이겠지.)
reina	-	우리를 대표자로 삼아 투쟁에 임하겠다고 들었는데,^그렇다면 당신들은 우리에게 무엇을 줄 수 있소?
kashasty	surprised	핀토스 경?!
blank	-	이런 사람들과 정말로 손을 잡겠다고?
reina	-	어차피 우리도 황제의 세력과 적대하는 사이이니 문제될 건 없지만,^협력을 원한다면 우리에게 어떤 도움이 될지 제시해 줘야겠어.
yucrrem	-	하하핫, 아직 저희에 대해 정확히 모르고 계신가 보군요.
blank	-	그는 날카로운 송곳니를 드러내며 큰 소리로 웃었다.
yucrrem	-	우리는 한두 명의 몽상가와 그 친구들로만 이뤄진 오합지졸이 아닙니다.^유니티뿐 아니라 자바와 루아 곳곳에, 대도시마다 지부와 세력권이 존재하죠.
yucrrem	-	동맹 자체가 여러분의 이점일 겁니다. 우리의 친구로 인정받는다면, 대륙 어디서든 도움을 제공받을 수 있을 테니까요.
eren	-	그게 사실이라면 확실히 손해 보는 거래는 아니겠지.^제국을 빠져나가는 것도 번거로운 일인데 좀 수월해질 테니까.
reina	-	좋아. 목적이 같다면, 필요할 때 협력하는 게 서로에게 도움이 되겠지.
kashasty	thinking	(목적…… 그래요, 황제는 먼저 우리들을 죽이려 하였으니 맞서는 수밖에 없겠지요.)
kashasty	thinking	(하지만 정말 그것만으로 좋은 것일까요.)
yucrrem	-	다른 분들은 어떠십니까?
lenien	-	물론이죠. 자유롭게 숨쉬고 연구할 수 있는 나라를 위해서라면 어디든지.
luvericha	-	……마음대로 하시죠. 약속대로 전 에렌이 일행을 찾았으니 떠날 테니까.
yucrrem	-	이런, 하스켈 양은 아직 모르고 있겠군요.
luvericha	-	무슨 말이죠?
yucrrem	-	우리는 이미 하스켈 공작과 그의 동료들을 끌어들였습니다.^그분들을 찾는 거라면 저희의 도움을 받는 게 가장 빠를 텐데요?
reina	surprised	뭐라고?!
blank	-	모두가 예상치 못한 폭탄선언에 깜짝 놀란 사이에 다음 말이 날아들었다.
yucrrem	-	다들 이견이 없다면 좋습니다. 오늘은 여기서 쉬시고 내일 회합 장소로 출발하시죠.
yucrrem	-	당신들은 우리의 희망이 되어 주셔야겠습니다.
*	Era
