Script#33			
*	BG	City_Night	
*	BGM	BGM_Normal	
blank	-	<color=yellow>제국력 518년 2월 12일, 성도 칸티움</color>
luvericha	-	……!
lucius	-	맞게 찾아온 것 같군.
blank	-	접선 장소에 나타난 것은, 죽은 줄 알았던 가족의 모습이었다.
lucius	surprised	당신들은…… 아니, 리카?!
luvericha	-	살아 계셨군요?!
blank	-	반가우면서도 선뜻 다가가기에는 망설여졌다.
blank	-	가문의 대표이신 루키어스 님에 대한 양가적 감정.^당시에는 그것이 최선이었고, 나는 그 덕분에 살아있는 건 알지만…….
*	FO		
*	Gray		
*	BG	Garden	
*	BGM	BGM_Urgent
*	FI		
lucian	-	어째서. 어째서 나만 벌레 취급을 받아야 하는 거냐고!!!
luvericha	-	아니야, 오빠, 그런 뜻이……
lucian	-	그래. 너도 날 태어나지 말았어야 할 쓰레기로 생각했겠지.
*	SE	PullSword	
lucian	-	끝내자. 너도, 나도…… 지옥에서 다시 만나자고.
blank	-	모든 것을 놓아버린 오빠는, 검을 뽑았지만 힘없이 늘어뜨린 채 천천히 걸어왔다.
luvericha	-	(그래, 오빠에게 받은 이 목숨, 오빠가 원한다면…….)
*	SE	Slash	
lucius	-	그렇게 두진 않아!
*	SE	SwordCollision	
lucian	-	칫! 그래, 끝까지 설교나 늘어놓겠다 이거지.
lucius	-	정신 차려! 넌 핀토스 놈들에게 조종당하고 있다고!
luvericha	-	제발, 다들 그만해요, 그러지 마…….
lucian	-	항상 그렇게 잘난 듯 말하지! 이번에야말로 형을 꺾고 증명해 보이겠어!
blank	-	루시안 오빠는 대표님을 향해 달려가다,^순간적으로 거리를 좁힌 후 내리쳤다.
*	SE	SwordCollision	
lucius	surprised	큭……!
*	SE	Barrage	
blank	-	예상 못할 정도로 빨리 들어온 공격.
blank	-	대표님은 순간적으로 검을 들어올려 막았지만, 자세가 무너져 뒤로 밀려났다.
lucian	-	벽에 처박힌 루키어스 하스켈이라, 아주 보기 좋은 광경인데?
lucius	irritated	……방금, 그걸 쓴 거냐.
lucian	-	아버지와 형은 이능력은 대가 없이 얻어진 힘이니 가치가 없다고 했지.^크크, 어때?
lucian	-	오늘, 그 힘에 의해 죽게 될 거야!
luvericha	-	안 돼!!!
*	SE	ElectricBuzz	
blank	-	검을 잡을 수 없는 내가 어떻게든 익혔던 마법.^오빠의 움직임이 순간 멈췄고.
lucius	irritated	허억……!?
*	SE	Pierce	
blank	-	당연히 막을 거라 생각하고 휘두른 대표님의 칼은, 오빠의 심장을 꿰뚫었다.
*	FO		
*	Colorful		
