Script#34			
*	BG	City_Night	
*	BGM	BGM_Urgent	
luvericha	-	(오라버니가 아니었으면 죽었을지도 몰라. 이걸로 두 번째인가…….)
blank	-	소년을 둘러싼 빛무리들은 제각기 다른 색을 띠며,^오로지 파괴만이 목적이라고 외치듯 주변에 무차별적 공격을 퍼부었다.
blank	-	하지만, 내 머릿속은 눈앞의 위험에도 그 정보를 다 담지 못할 만큼 혼란으로 가득했다.
luvericha	-	('누나', 라고? 이 사람은 내 기억과 관련이 있는 걸까?)
eren	-	아하핫, 대단한데?! 그 녀석의 마지막 실험은 실패라고 생각했는데 이런 게 남아 있었다니!
curi	-	이건, 정령……? 말도 안 돼! 인간이 정령을 부릴 리가 없어!
*	SE	Run
karldrich	-	칫! 어디 인민의 죽창도 막을 수 있는지 보자!
*	SE	Pierce
blank	-	오라버니와 함께 나타난 더벅머리 남자는 용맹하게 달려들어 빛무리 하나를 찔렀지만, 마치 단단한 형체가 있는 것처럼 끝부분만 약간 들어가다 멈춰버렸다.
blank	-	그는 잠시 후 발밑에서 나무뿌리가 돋아나는 것을 피해 땅을 박차고 제자리로 돌아왔다.
eren	-	……저건 마법 공격에 취약해. 평범한 무기로 상대하긴 쉽지 않을 거야.
*	SE	ElectricBuzz	
lenien	-	그렇다면 내가 해결해 주지!
json	-	좋아, 막는 건 어떻게든 해줄 테니 저 녀석을 멈춰 보라고!
yeong	-	제가 가까이서 시선을 끌겠습니다.
reina	irritated	……지난번에도, 저 아이를 멈추려면 결국 힘으로 제압하는 수밖에 없었지.
*	FO		
*	BGM	BGM_Solve
*	FI		
blank	-	우리는 하스켈과 핀토스를 합한 수적 우위를 이용해 하나씩 집중 공격을 펼쳤고, 빛무리들도 언젠간 힘이 다하는지 차례차례 사그라들었다.
*	SE	Fall
blank	-	이윽고 마지막 빛무리가 제자리로 돌아가면서 소년은 기절하듯 제자리에 쓰러졌다.
*	SE	Run
blank	-	소란 탓에 사람들이 몰려올 것을 우려한 우리는 어두운 밤거리를 달려 더욱 깊숙한 골목으로 숨어들었다.
lucius	-	그쪽이 키우는 두 번째 괴물인가? 취향도 독특하시군.
kashasty	-	아무래도, 당신들과 신뢰 관계를 형성하는 건 가시 없는 장미를 찾는 것만큼 난해한 목표가 되겠군요.
lucius	-	양가의 일원을 보호해준 것은 서로의 빚이니 각자 없는 셈 치도록 하지.^한동안은 당신들과 엮이고 싶지 않군.
ratice	-	'한동안'이라면……?
lucius	-	황제의 위협이 사라지면 그 다음의 목표는 저들입니다.
lucius	-	지금 내 검이 움직이지 않는 이유는, 여기서 서로 부딪쳐 공멸하면 가장 위험한 악당이 세계를 지배할 것이라는 것뿐입니다.
reina	-	성급하군. 황제, 그리고 제국이 지금의 목표라면, 나에게 좋은 방법이 있는데.
luvericha	-	……당신은 무슨 말을 해도 믿을 수 없어요.
reina	-	그쪽이 말하는 '첫 번째 괴물'. 그 존재는 알고 있지?^그리고 그걸 우리가 관리하고 있었단 사실도.
blank	-	확실히 그건 부정할 수 없었다. 오라버니가 직접 보았다고 말했고, 그걸 부정하면 오빠의 죽음을 근거로 핀토스 측을 비난하는 게 불가능해지니까.
luvericha	-	(윽…….)
blank	-	그 사건을 다시 떠올리자 마음 한구석이 또 욱신거렸다.
reina	-	거기에 담긴 잠재력은 말 그대로 어마어마해.
reina	-	누구보다도 내가 가장 잘 알지. 지금 당신들이 뭘 상상하더라도 그 이상일 거야.
karldrich	-	그래서 하고 싶은 말이 뭐야?
reina	-	그런 게 하필 이 시기에 황제의 손에 들어갔네?^이제 그걸 가장 먼저 어디에 활용할 것 같아?
json	-	……전쟁이겠지.
lenien	-	그럼 그걸 해결할 방법이 있다는 건가요?
reina	-	성공한다는 보장은 없지만, 제 방법이 아니면 절대로 불가능할 거라고 단언하죠.
blank	-	대답하는 사람은 없었다.
blank	-	잠시 정적이 흐른 후, 레이나 핀토스는 새로운 제안을 했다.
reina	-	함께 움직이기 싫다면, 뭐 좋아. 나도 당신들과 같이 다니는 건 부담스러우니.^목적지에서 만나기만 하면 상관없어.
ratice	-	……아무래도, 제대로 된 동맹을 구축하려면 시간이 꽤 많이 걸리겠군요.
blank	-	그는 중얼거리며 어쩔 수 없다는 듯 고개를 좌우로 흔들었다.
ratice	-	마지막으로 하나만 부탁드리죠.
*	Glos	셀다1	
ratice	-	<color=red>셀다 대공</color>께서 여러분과 만나고 싶어하십니다.
yeong	-	그분께서 왜 저희를…….
blank	-	그 말에 자신만만한 미소를 지으며 믿기 힘든 대답을 내놓았다.
ratice	-	대공께서도 인터내셔널의 후원자 중 한 분이시죠. 여러분의 여정을 위해 편의를 봐주실 겁니다.
*	FO
*	BG	MeetingRoom
*	FI
blank	-	인터내셔널의 안내자라는 사람을 따라가자 황제의 동생인 셀다 대공을 만날 수 있었다.
karldrich	-	뭐, 뭐지? 당신 인터내셔널 소속인데 어떻게 교단 본부를 우리까지 달고 드나들 수 있는 거야?
ratice	-	대외적으로는 셀다 동지의 보좌관이니까. 교단의 정식 신도로도 등록돼 있지.
json	-	그렇다면 이중 첩자?
ratice	-	그런 셈이죠.
selda	-	이분들을 모두 데려오시다니 굉장하군요, 컴파일 동지.
ratice	-	별말씀을요. 셀다 동지께서야말로 도움이 필요한 곳곳에 힘을 써 주고 계시지 않습니까.
karldrich	-	오, 무조건 동지로 호칭을 통일하는 건 높으신 대공님도 예외가 아니구만.
selda	-	물론입니다. 만민 평등은 뮤의 중요한 가르침 중 하나니까요.
reina	surprised	정말로 대공이 뮤의 신도였다니…….
lenien	-	흐음. 그래서 대공님께서는 우리를 어떻게 도와주실 생각이시죠?
selda	-	마침 뮤께서 우리를 돕고 있습니다. 동계 벽지 선교단이 바로 내일 출발할 예정이니까요.
curi	-	동계 벽지 선교단? 그게 뭐죠?
ratice	-	몇십 년 전까지만 해도 국경지대는 대부분 농경으로 생활했어요. 그래서 농사를 쉬는 겨울에 선교사들이 가서 다음 해 농사 준비도 도우면서 농민들에게 경전을 가르치는 거죠.
kashasty	-	하지만 선황이 연방과 외교관계를 재개하고부터는 주로 무역을 하지 않나요?
ratice	-	전통이라는 게 상황이 달라진다고 바로 사라지는 건 아니니까요.
selda	-	이번 선교단에 포함된 사제 중에도 우리의 동지가 있습니다. 여러분은 그분의 인솔을 따르는 신실한 신도인 척 하시면 됩니다.
eren	-	재미있군. 황제의 동생인 대공이 황제를 끌어내리자는 비밀결사에 가담하다니. 이유가 뭐지? 황위 계승에서 밀려난 원한인가?
lucius	-	그럴 리가 없지 않나. 대공은 황위 계승 경쟁에서 스스로 물러나셨으니까.
blank	-	어찌 보면 무례한 질문에, 대공은 심호흡을 한번 하더니 이야기를 시작했다.
selda	-	……폐하는 마음이 불안정하십니다. 암살 시도를 겪은 이래로 거의 모든 사람을 믿지 못하시지요.
luvericha	-	거기까지는 귀족들 사이에서 파다하게 소문이 나 있었죠.
selda	-	용태는 생각보다 심각하여 일상 생활조차 제대로 하지 못하실 지경이라 하더군요. 그리고 그런 상태에 빠진 폐하를 이용하여 사사로운 이득을 도모하는 무리가 있습니다.
json	-	일개 연구원에서 순식간에 연구부장까지 뛰어오른 실비 어셈블리, 그리고 그 뒤를 봐주고 있는 친위국장 파이선 어셈블리 말씀이시군요.
selda	-	알고 계셨습니까? 대체 어떻게……?
json	-	……제 이름은 제이선 어셈블리. 그 두 명의 동생이니까요.
karldrich	-	참고로 지금은 전향했지.
reina	surprised	잠깐, 그럼 우릴 숙청하겠다고 나선 것도?
json	-	당신들은 그들에게 숙이고 들어가지도 않은 채 독자적인 세력을 유지하고 있었으니까, 나라를 통째로 집어삼키려던 녀석들에겐 거슬렸겠지.
json	-	수백 년 전통의 하스켈과 핀토스를 쳐낼 구실도 마땅치 않았는데 마침 괜찮은 핑계도 들어왔으니까 말이야.
luvericha	-	(정말로, 내가 오빠의 일을 알린 게 이 모든 일의 발단이라고……?)
selda	-	……덕분에 이야기가 빨라졌군요. 그들은 황제 폐하를, 무엇보다도 이 나라와 백성들의 삶을 파괴하고 있습니다.
selda	-	인간적 가치보다 그저 생존의 노예로 전락한 사람들을 위해. 하지만 이미 권력의 대부분은 그들에게 장악당한 상황이니 외부의 힘이라도 빌려서 제거해야 합니다.
selda	-	다음 황제는 제가 아니라도 좋아요. 황가의 피가 전혀 흐르지 않는 사람이라도 상관없습니다. 단지 이 나라를 더 좋게 만들어줄 사람이라면…….
blank	-	오빠는 항상 다른 사람들을 돕는 게 좋다고 말하곤 했다. 이제 오빠는 없으니까.
luvericha	-	(내가 대신, 그 뜻을 이어갈게…….)
*	Era
