Script#17-2			
*	BG	City_Night	
*	BGM	BGM_Urgent	
blank	-	포위망을 억지로 뚫은 뒤 가장 바깥쪽에 있던 마차를 빼앗아서 서둘러 몸을 실었다.
blank	-	하스켈 사람들은…… 다른 마차를 구한 모양이다.
ratice	-	일단 흩어지죠! 동쪽 출구에서 만납시다!
*	SE	Dagdak
yeong	-	핫!
blank	-	능숙한 솜씨로 채찍질을 하자 말들이 전속력으로 달리기 시작했다.
lenien	-	덕분에 살았네요. 선교사들과 뒤섞여서 마차에 탄 상태에서 기습을 당했으면 꼼짝없이 당할 뻔했으니까.
triana	-	그, 그런가요?
triana	-	(내 덕분이라고? 나처럼, 쓸모없는 게……?)
reina	-	일단 저쪽 말대로 동쪽 출구에서 합류하죠.
kashasty	-	그런데 대공은 어떻게 되는 거죠?
eren	-	당연히 좋은 꼴은 못 보겠지.
kashasty	surprised	그럴 수가…….
yeong	-	……그쪽은 신경 써도 소용없습니다. 우리가 어떻게 해줄 수 없는 일이니까요.
yeong	-	우리는 그분이 맡기신 역할을 다하도록 하죠.
triana	-	(방금은 나도 도움이 된 걸까……?)
blank	-	한 번만, 한 번만 더, 같이 가고 싶다. 약간의 용기를 얻어서 생각을 멈추고 그 소망에 몸을 실었다.
*	Era
