Script#36			
*	BG	Grassland	
*	BGM	BGM_Sad	
bianca	shout	스승님! 거기서 뭐 하시는 거예요! 역적들을 돕다니!
blank	-	쪼그려 앉아 수정 가루로 마법진을 그리던 비앙카는,^이쪽을 보더니 소스라치게 놀라 손놀림도 멈추고 소리쳤다.
ratice	-	(역시 너인가. 닮은 사람을 착각한 것이기를 바랐건만…….^세상 일이 그리 적당히 돌아가지는 않겠지.)
blank	-	천천히 다가가자 비앙카 주변을 지키던 병사들이 경계하는 자세를 취했다.^비앙카가 손을 내젓자 그들은 일단 물러섰다.
blank	-	이제는 현실을 인정하고 받아들여야 한다.
ratice	-	잘 지냈지?
blank	-	그리다 만 마법진의 경계에 발을 걸치고 말을 걸었다.
bianca	-	물론이죠! 요즘 제가 얼마나 잘 나가냐면…… 아니, 그게 중요한 게 아니라!
blank	-	나를 올려다보는 자세가 불편했는지 벌떡 일어서서,^빨리 말하기 대회라도 나온 사람처럼 말을 쏟아내기 시작했다.
bianca	-	아하~ 못된 녀석들한테 속아 넘어가셨군요!^하여튼 우리 스승님은 너무 착해서 탈이라니까!
bianca	-	걱정 마세요! 상부에 제가 잘 설명하면 스승님은 무사히 보내드릴 수 있으니까.
bianca	-	아니 세상에, 저것들이 말이죠? 지금 유니티에서 현상금이 가장 큰 지명수배자에다 그 죄목이 뭐냐면……
ratice	-	알고 있단다, 비앙카.
blank	-	잠시 무거운 침묵이 흘렀다.
*	SE	Bomb	
blank	-	주변은 병장기가 부딪치고 에테르가 폭발하는 소리가 뒤엉켜,^그 침묵은 우리 둘만을 잠시 다른 차원으로 빼놓은 것처럼 느껴졌다.
bianca	-	그럼…….
ratice	-	너야말로 왜 제국의 심장부에 들어간 거야?
bianca	-	왜라뇨? 죽을 뻔한 이 생명은 이미 국가의 것인데! 제 모든 것을 불살라 사라질 때까지 충성을 다하는 것이 도리니까요!
ratice	-	널 죽을 뻔하게 만든 것도 유니티 제국일지도 몰라.
bianca	-	그렇게 생각하는 이유는 뭐죠?
ratice	-	내가 본 대로 말하면 믿어주겠니?
bianca	-	제국이 저를 살린 것은 직접 겪어서 똑똑하게 기억하고 있는 일이죠.^그거면 충분해요. 그보다 확실한 건 없으니까.
blank	-	내가, 나도 모르는 사이에 널 죽였을지도 모른다고.
bianca	-	이제 나에게 스승 따윈 없어. 질서를 무너뜨리고 혼란을 가져오는 자들과 한패라면 용서하지 않아.
blank	-	그는 고개를 숙이고 몸을 떨고 있었다.^마치 처음 만났을 때처럼, 그러나 다른 이유로.
ratice	-	……그렇구나.
blank	-	세계를 서로 다르게 보는 자는, 무엇이 옳은지, 무엇을 해야 하는지에 대한 생각도 다를 수밖에 없다.
blank	-	그런데 손을 잡을 수 있을 리 없다.
ratice	-	(그 마법진은 다 그리더라도 작동하지 않을 거야, 비앙카.^네게 그걸 가르쳐준 게 나란다.)
blank	-	돌아가는 동안 흙바닥에 남은 발자국에는 수정 가루가 섞여 있었다.
*	FO		
*	BGM	BGM_Solve	
*	FI		
blank	-	결국 교단의 대형 마차를 빼앗아 자리를 벗어났다.
blank	-	열두 명은 정원 초과였지만, 쫓아오는 상대는 마법으로 어떻게든 따돌릴 수 있었다.
ratice	-	(단지 조직의 상징성을 위한 얼굴마담들이라고 생각했는데, 기대 이상이잖아?)
blank	-	성도에서 정령들과 부딪치는 것을 본 적은 있지만,^전력을 대략 파악할 수 있는 상대는 이번이 최초.
blank	-	두 가문이 각각 검술과 마법에 있어 가장 뛰어나다고는 들었지만,^과장 섞인 소문일 거라고 생각했다.
ratice	-	(몇 명이서 국가 단위의 전쟁을 좌우할 수는 없는 일이라지만……^툼나 황제, 이런 자들을 스스로 내치다니 꽤나 여유가 넘치는군.)
ratice	-	(혹은…… 그 희생을 통해 구해낸 ‘그것’의 힘이 상상을 뛰어넘는 것이거나.)
blank	-	그쪽에 생각이 미치자 온몸에 오한이 흘렀다.
json	-	이제 어떻게 하지?
ratice	-	목적은 이미 달성한 셈이죠.^어차피 교단에 숨어든 목적은 국경지대까지 오는 거였으니까.
lenien	-	자바로 넘어간다면 어렵지 않아요.^제국군이 기나긴 국경선에 빠짐없이 배치된 건 아니니까요.
curi	-	……자바로 넘어가는군요.
lenien	-	다만 험한 산지를 넘을 각오는 해야겠죠. 제대로 된 길이 아니니까.
blank	-	도시에 들어갈 수 없게 됐으니 조직의 도움은 받을 수 없겠다.^어떻게든 해보는 수밖에.
lenien	-	아 뭐, 올 때도 거쳤는데 그렇게 못해먹을 짓은 아니더라고요.
kashasty	surprised	그 험한 산을 넘었다고요?!
lenien	-	썩 유쾌한 과정은 아니었지만. 어쩔 수 없잖아요?
karldrich	-	흐음, 혁명가의 길에는 이슬을 맞으며 풀뿌리를 뜯어먹어야 하는 날도 있는 법이지.
reina	-	잠깐, 그 전에 가야 할 곳이 있어요.
lucius	-	가야 할 곳이라니?
reina	-	따라오라고. 당신도 필요하니까.
luvericha	-	협력을 요청할 거라면 적어도 상황을 설명하는 게 예의 아닌가요?
reina	-	툼나 황제를 저지하려면 꼭 필요한 준비가 있어.^그게 없으면, 동맹이고 뭐고 그 힘에 무너지고 말 거야.
*	Era
