Script#37			
*	BG	RockMountain_Snow	
*	BGM	BGM_Sad	
blank	-	<color=yellow>제국력 518년 2월 26일, 유니티 제국, 루펠리아 고산지대</color>
eugene	-	……아아, 대륙은 춥구만.
blank	-	또다시 모험이다. 육지보다 바다에서 머문 시간이 더 길다 보니 이런 기후는 익숙하지 않지만.
*	SE	Whisper	
idwen	-	(우린 맹세했어. 함께 모험을 하는 거야. 이 방패의 비밀을 밝히거나, 아니면 우리 두 명이 죽을 때까지, 함께…….)
blank	-	처음에는 라이너의 가문이 어려움에 처했다는 소식에 무작정 길을 떠났다.
blank	-	절호의 기회였다. 죽은 친구와 의리도 지킬 수 있고, 황제에게 쫓길 만큼 위험한 일이라면…….
blank	-	이 굴레에서 벗어날 수 있는 절호의 기회니까.
idwen	-	(아하하. 그렇게 스스로를 죽음의 구렁텅이에 내던지는 거야?^그런 식으로 편법을 써서 약속을 지키려는 거야?)
eugene	-	……맹세는 지킨다. 그러면, 편해질 테니까.
blank	-	하스켈 가문과 연락할 수단도 없으니, 일단 유니티 제국으로 넘어와서 행방을 찾아봐야겠다는 생각이었다.
*	SE	PamaLight	
blank	-	그런데 국경지대 근처에 도달했을 무렵, 그 저주받은 물건의 수정이 빛을 내며 깜빡이기 시작했다.
eugene	-	이 방향으로 가면 뭔가 있겠지. 적어도, 저주의 실마리가 되는 단서라도.
*	BGM	BGM_Urgent	
*	SE	Grr	
blank	-	비교적 가까운 곳에서 으르렁대는 소리가 들려왔다.^아직 눈에 보이지는 않지만, 추측하건대 머릿수는 꽤 많다.
noel	shout	피해를 최소화하며 후퇴한다!
sepia	-	전위, 방어 대형 유지!
eugene	-	이런 곳에 사람이?
eugene	-	(놈들의 영역을 건드렸나보군. 뭐, 거의 알려지지 않은 종이니까……)
blank	-	적당히 피해서 지나갈까 하다가 호기심에 조금 접근해보자,^흰 털이 수북한 괴수들이 인간을 위협하며 몰아내고 있었다.
eugene	-	(제복? 모험가가 아니라 정규군인가?)
eugene	-	(……라이너의 자식들이 유니티 제국에 쫓기고 있다고 했지. 어쩌면 이 근처에 있을지도 모르겠군.)
blank	-	그들이 추적자라면, 발을 조금이라도 묶어두는 게 도움이 될 것이다.^하는 김에 정보나 좀 얻어내 볼까.
*	SE	Whisper	
idwen	-	(우리의 추억이 담긴 물건을 그런 식으로 쓰는 거야? 내가 왜 이렇게 됐는지 알면서……)
*	SE	Shield
blank	-	환영의 목소리를 애써 무시하며 저주받은 방패에 마력을 주입했다.
eugene	-	허허, 공무 수행 중이신 귀한 분들이 어려움에 처하셨나 보군요.^미약하나마 돕겠습니다.
blank	-	빛나는 방패가 제복을 입은 이들 주변을 돌며 외부의 공격을 차단했다.
grenev	-	넌 뭐야? 필요 없으니까 죽여버리기 전에 꺼져.
darkenir	-	아니, 기다리거라. 세계의 흐름에 간섭하는 능력이 상당하군.^이 자는 실질적인 도움이 될 게다.
bianca	-	뭐, 방해할 생각이 없다면 괜찮지 않겠어? 반역자들을 쫓으려면 조금이라도 서둘러야 하니까.
eugene	-	하핫, 물론이죠.
blank	-	저주받은 방패의 힘이 발동하면 주변의 괴수들이 몰려오게 된다.
eugene	-	(비록 소중한 사람을 잃고 나서야 그 사실을 알았지만…… 이번에라도 요긴하게 써 주지.)
eugene	-	(최대한 이들의 움직임을 늦춘다. 그동안 도망쳐.)
*	Battle	191
