Script#38			
*	BG	RockMountain_Snow	
*	BGM	BGM_Solve	
eugene	-	(과연 잘 훈련된 정예 병력인가.)
blank	-	잘못 마주친 괴수들에 일부러 끌어온 녀석들까지 뒤섞여 상당히 위험했을 텐데, 큰 피해 없이 성공적으로 빠져나갔다.
*	SE	Whisper	
idwen	-	(일부러 그런 거지……? 죽어도 상관없다고 생각하고 내던진 거지……?)
eugene	-	(아니, 친구의 가족을 위해 시간을 끌어주려고 했을 뿐이야.)
noel	-	생각보다 훨씬 흉포한 녀석들이군. 고맙소, 꽤 도움이 됐으니.
eugene	-	……아까 얼핏 듣자하니 예의 반역 사건을 맡고 계신가 보군요.
bianca	-	물론이지! 우리는 제국을 떠받치는 별들이니까!
eugene	-	오, 정말 훌륭하시군요. 저도 그 영광스러운 일을 함께해도 되겠습니까?
blank	-	말은 청산유수. 그 사건 이후로 나는 거짓말에 꽤 능숙해졌다. 스스로부터 끊임없이 속여야 했으니까.
eugene	-	보물을 찾아다니는 모험가로서 경력은 꽤 됐으니, 도움이 될 겁니다.
blank	-	거짓말로만 이뤄진 거짓말은 마치 지붕뿐인 집과 같아서 누구나 쉽게 간파할 수 있다.
blank	-	대부분의 진실에, 정말 중요한 부분에만 거짓말 약간.^그렇게 하면 진실이 거짓말에 신빙성을 더해줄 수 있다.
noel	-	……그리하게.
darkenir	-	그대, 하나 질문해도 되겠는가? 그 방패, 놀라울 정도로 강력한 힘을 품은 물건이라 흥미가 생겨서 말이지.
eugene	-	저도 잘 모르겠군요. 탐험을 하다가 얻은 물건이라서 말이죠.
*	SE	Whisper	
idwen	-	(아니야, 유진…… 그건, 내가…… 준 거잖아……?)
eugene	-	(시끄러워. 쓸데없는 말을 해서 분위기를 망칠 필요는 없다고.)
blank	-	이제 혼자 있는 시간은 한동안 끝이다. 그 사실을 되새기며 마음 속에서 가면을 꺼내 뒤집어썼다.
agent	-	십여 명이 지나간 흔적을 발견했습니다! 극히 최근에 발생한 것으로 보입니다!
grenev	-	그럼 그만 떠들고 얼른 가자고. 오늘도 놓치면 밤에 잠이 안 올 것 같으니까.
*	Era
