Scene#2-1			
*	BG	MeetingRoom	
*	BGM	BGM_Normal	
*	Glos	친위국 집행부1
blank	-	<color=yellow>제국력 518년 1월 19일, <color=red>친위국 집행부</color> 회의실</color>
noel	-	작전은 실패다.
blank	-	상당수를 놓친 것 뿐만이 아니다.^가장 큰 목표, 루키어스 하스켈과 레이나 핀토스도 잡지 못한 것이다.
sepia	-	……작전이 형편없는 실패로 끝났다는 건 부인할 수 없겠군요.^변명의 여지도 없습니다.
arcadia	-	정보원으로 쓸 수 있는 자를 하나 생포한 건 그나마 다행이지만.
darkenir	-	상대를 과소평가한 탓이 크도다. 고작 두 명이서 그 포위망을 뚫을 것이라고는 생각하지 못했으니.
grenev	-	흥, 평화가 너무 길어서 그래. 평소에 놀기만 하니까 감이 녹슨 거라고.
bianca	shout	아무리 그래도 그렇지! 그만한 전력과 준비를 갖추고 기습을 했는데,^어떻게 고작 몇 놈 잡는 데 그칠 수가 있어?!
noel	-	(……벌써부터 머리가 지끈거린다.^체력이 예전같지는 않은 게 나이가 들었다는 증거인가.)
noel	-	원인을 분석해서 나아가는 것도 중요한 일이지만, 이 자리의 목적은 그게 아니다.
*	Glos	집행관1	
bianca	yell	네!! 그렇죠! 지당하신 말씀이십니다!^그럼 저희 <color=red>집행관</color>들은 무엇을 하면 될까요?
noel	-	내일 핀토스 저택을 수색하러 간다.^목적은 모나드 님의 유해를 우리가 가서 확보하는 것.
noel	-	적의 본거지인 만큼 무엇이 있을지 모른다. 모두 만반의 준비를 갖추도록.
sepia	-	명을 받들겠습니다.
noel	-	그리고 폐하께서 놓친 잔당을 최대한 빨리 추적하라 명하셨는데…….
bianca	yell	저! 저요! 제가 가겠슴다! 적의 흔적을 추적하며 빠르게 움직이는 일이라면 저만한 적임자는 없죠!
darkenir	-	과연, 타당한 이야기지만…… 혼자서 괜찮겠느냐?
darkenir	-	실패했을 때는 이유를 철저히 파악하고 다음에 반영해야 하느니라.^적들의 무위는 우리의 예상 범위를 벗어나고 있도다.
bianca	smile	그래 봤자 상처입은 패잔병이지! 숫자가 그렇게 많은 것도 아니고.
json	-	애초에 네 부대는 추적과 보조에 특화되어 있다는 걸 잊지 마.^목표를 발견하면 주변의 군 부대와 연락해서 협공을 하는 게 나을 거다.
blank	-	평소에는 말이 거의 없더니, 마침 적절한 때에 비앙카를 말려줬다.^설득할 수고를 조금 덜었나.
darkenir	-	좋은 생각이군. 그 정도라면 충분하겠지.
noel	-	현 시점에서 가장 시급한 목표는 반역자들의 구심점,^루키어스 하스켈과 레이나 핀토스다.
noel	-	그 둘을 격파하면 나머지는 빠르게 무너지겠지.
arcadia	-	둘이 흩어져서 도망쳤다면, 비앙카 혼자 양쪽을 쫓을 수는 없겠군요.
arcadia	-	설령 함께 있더라도 그건 그것대로 비앙카 부대만으로 상대하기는 무리일 겁니다.
sepia	-	그럼 적어도 한 명은 더 추적 임무에 투입해야겠군요.^한 명은 레이나 핀토스, 다른 한 명은 루키어스 하스켈을 쫓도록 말이죠.
json	-	……그렇다면 나도 가지.
*	Glos	제이선 어셈블리1	
noel	-	<color=red>자네</color>가?
blank	-	오늘따라 아까부터 적극적인 태도다. 상관으로서는 반길 만한 일.
noel	-	그럼, 국장님께는 그렇게 보고하지.^비앙카와 제이선은 지금 바로 출발할 준비를 시작하도록.
*	FO		
*	BG	Garden	
*	BGM	Epic_Monarch	
*	FI		
blank	-	<color=yellow>제국력 518년 1월 20일, 핀토스 저택</color>
noel	-	(하스켈, 핀토스…… 그만큼 가지고도 더 큰 것을 탐하다가 모든 걸 잃다니, 인간의 욕망이란 얼마나 어리석은가.)
blank	-	비앙카와 제이선 부대는 추적 임무를 받아 떠났고,^집행부의 나머지는 모나드 님을 찾기 위해 핀토스 저택 앞에 도착했다.
noel	-	(신이시여, 부디 이 세계에 영원한 평화를.)
darkenir	-	점검 끝, 모든 준비에 이상 없습니다.
noel	-	단순 고용인들은 가능한 한 생포하라.^단 무기를 들거나 저항하는 자에 한해 즉결처분을 허가한다.
blank	-	희생은 어느 쪽에서나 되도록 적은 쪽이 낫다.^하지만 반역자의 목숨보다는 집행관과 요원들의 안전이 더 중요하다.
grenev	-	하핫! 알겠습니다앗!
*	FO		
*	BG	PartyRoom	
*	BGM	BGM_Tense
*	FI		
blank	-	신호와 함께 일제히 저택으로 진입하자마자,^마치 귓가에서 속삭이는 듯한 목소리가 머리를 휘저었다.
*	SE	Whisper	
monad	-	(그대, 특별한 힘을 가졌군.)
noel	surprised	누구냐!
monad	-	(평범한 자들에게는 내 목소리가 들리지 않느니라.)
darkenir	-	무슨 일이십니까?
noel	-	……아니, 아무것도 아니다.
*	SE	Whisper
*	Disapp	right	
monad	-	(내가 조종할 수 없을 정도로 강대한 힘…… 너는 나와 대등하게 교섭할 자격이 있는 자.)
monad	-	(너의 그 힘은 본래 내 것이다. 나에게 바쳐라. 대가는 넘치도록 주마.)
*	SE	Whisper
monad	-	(너는 늙지 않고, 누구보다 강인하며, 무엇이든 알 수 있을 만큼 총명해질 것이다.)
*	Glos	신성력1	
noel	-	(특별한 힘이라면, <color=red>신께서 주신 힘</color>을 말하는 것인가?)
monad	-	(신의 힘……? 아, 그래. 아퀴나스가 그렇게 말하면서 사기를 치고 다녔던 것 같기도 하군.)
noel	-	(감히 사도 아퀴나스의 어록을 함부로 평하다니.)
monad	-	(그 헛소리가 오백 년이 지난 아직까지도 영향을 미친단 말인가?^하, 이럴 줄 알았으면 무리해서라도 뿌리를 뽑아둘 걸 그랬군.)
noel	-	(……대체 그대는 누구이기에 그다지도 오만한가?)
monad	-	(내 이름은, 모나드. 네가 신의 힘이라고 착각하는 그 힘의 주인이다.)
noel	surprised	(모나드?! 그대가?)
monad	-	(지하에 있는 감옥으로 오라. 네가 원하는 무엇이든 그곳에 있을지니.)
blank	-	제국의 창립자께서, 한 줌 역적들의 어처구니없는 실험 탓에 기나긴 세월을 이토록 뒤틀린 채 존재해왔단 말인가.
noel	-	(……거절하겠습니다. 이만 편히 쉬게 해 드리죠.)
monad	-	(어리석군.)
*	SE	Whisper	
blank	-	그 말을 끝으로 목소리는 더 이상 들리지 않았다.
*	SE	PullSword	
blank	-	그리고, 집안의 하녀들이 일제히 무기를 꺼내더니 이쪽으로 걸어오기 시작했다.
*	Battle	21
