Script#4			
*	BG	PartyRoom	
*	BGM	BGM_Solve
noel	-	지하에 공간이 있을 것이다! 그쪽을 집중적으로 수색하도록!
sepia	-	알겠습니다!
arcadia	-	……그렇다면 저도 수색을 돕도록 하죠.
*	Glos	핀토스 공작가2
darkenir	-	<color=red>이것들</color>의 잔해도 가져가면 쓸모가 있을 것 같습니다만.
blank	-	부서져서 작동을 멈춘 인형들.
blank	-	관절이 기괴한 각도로 꺾여 붉은 피 대신 정체불명의 가루가 흘러나오는 것이 불쾌감을 유발하지만, 개중에는 손상이 덜해 보이는 개체도 있었다.
noel	-	(처음 봤을 때는 본능적인 거부감이 앞섰지만……^어쩌면, 이것은 우리에게 있어서 새로운 가능성일지도 모른다.)
blank	-	공격을 피하고 움직이는 상대를 노리는 정도의 섬세한 움직임이 가능하다면, 사람 대신 힘든 노동을 하는 것도 얼마든지 가능할 것이다.
blank	-	사람 대신 농사를 짓는다면 굶는 사람도 없어질 것이다.
blank	-	생존을 위한 일에 지쳐 쓰러지지 않게 되면, 사람은 훨씬 고상한 일에 열중할 수 있다.
blank	-	연구과에 이것을 넘기면 이번에야말로 성공하지 않을까?
grenev	-	으으, 달케니르, 그런 짓은 그만두라고.^전쟁터에 사람 대신 이런 것들만 우글우글하게 되다니 그런 끔찍한 미래가 어디 있어?
noel	-	(전쟁터라.)
blank	-	세계에 하나의 질서를 세우기 위한 여정.^그 길에 백성의 피를 흘리지 않을 수 있다면 더할 나위 없이 좋다.
noel	-	(역적들이여. 너희들은 어째서…….)
arcadia	-	찾았습니다!
grenev	-	오, 진짜? 나도 구경이나 해보자. 얼른 앞장서!
*	FO
*	BG	Prison
*	BGM	BGM_Sad
*	FI
blank	-	그곳에는 초상화나 동상을 통해서만 볼 수 있던 인간의 형상이 천장에 거꾸로 매달려 있었다.
noel	-	이것이 건국 황제의 모습이라니, 지독하군.
darkenir	-	으윽…… 지하에 내려왔을 때부터 계속 심한 두통이 느껴지는군요.
grenev	-	그래? 공기가 좀 구리긴 해도 그 정도는 아닌 것 같은데.
sepia	-	수상한 기계장치도 파괴했으니까요.
arcadia	-	……이상하군요. 저도 똑같은 증상을 겪고 있는데.
*	SE	Whisper	
monad	-	(네놈…… 거슬리는군…… 그 강대한 힘 때문에 먹잇감의 기운을 찾을 수가 없단 말이다……)
monad	-	(내놓지 않을 거면, 저리 비켜…….)
blank	-	순간 오싹함이 느껴졌다. 설마 저 두통의 이유가……?
noel	-	몸 상태가 조금이라도 이상하게 느껴지는 사람들은 즉시 이곳을 빠져나가도록! 나머지는 주의해서 이송 준비를 시작한다!
noel	surprised	(대체 무엇을 만들어내려고 한 것이냐.)
*	Era
