Script#39			
*	BG	Library	
*	BGM	BGM_Prelude	
blank	-	<color=yellow>제국력 518년 2월 27일, 수호자의 동굴</color>
*	SE	PamaLight	
*	App	left	deus
blank	-	……끊겼던 의식이 서서히 돌아오고, 수정들이 발하는 희미한 빛이 눈꺼풀 사이를 비집고 침투한다.
blank	-	겨우 한 몸 들어갈 정도로 비좁지만 익숙한 공간. 내가 활동할 때가 되었다면 저절로 문이 열릴 것이다.
deus	-	(어디 보자, 이번 점검 예정 시기가…… 542년이었던가.)
*	BGM	BGM_Urgent	
*	SE	Barrage	
blank	-	갑자기 관 전체에 강한 충격이 느껴졌다.
blank	-	수정 재질로 된 외벽은 균열이 생기고, 빛을 잃어갔다.
deus	-	(대체 이게 무슨……!)
*	SE	Barrage	
blank	-	상황을 파악할 틈도 없이 두 번째 충격이 날아들었다.
*	SE	BreakingGlass	
blank	-	주변을 둘러싼 수정 벽이 부서지고 있다.
*	SE	Shield	
blank	-	다행히 주변 공간의 에테르 농도는 압도적.^나는 반사적으로 몸을 감싸는 막을 형성해 파편을 막아냈다.
*	FO		
*	BG	LibraryCrystal	
*	BGM	BGM_Tense	
*	FI		
blank	-	장치는 완전히 망가져서, 이제는 평범한 수정 덩어리에 지나지 않는다.
deus	-	……자네가 이번 관리자인가? 이게 뭐 하는 짓이지?
reina	-	핀토스 가문의 대표자, 레이나 핀토스입니다.^봉인을 수호하는 영웅께 도움을 청하고자 합니다.
blank	-	장치의 빛이 꺼지자 주위는 평소보다 한결 어두웠다.
eren	-	오, 정말 깨어났잖아. 이게 그 데우스라고?
deus	-	음?
blank	-	함부로 부르는 무례함은 차치하더라도, 애초에 이곳은 핀토스 가의 대표만 알아야 하는 곳이거늘.
yeong	-	이분이 황제에게 맞설 도움을 준다는 것이로군요.
blank	-	불청객은 잘 보니 한둘이 아니었다. 어림잡아 열 명.
blank	-	관리자는 머뭇거리다 마지못해 대답했다.
reina	-	봉인을…… 빼앗겼습니다. 저들은 이 사태를 해결하기 위한 조력자들이죠.
luvericha	-	조력자라니, 뭘 제멋대로 정한 거죠?^우린 당신이 황제에게 맞설 방법이 있다고 해서 여기까지 왔을 뿐이에요!
deus	-	거기 불청객은 가만히 있게. 본래 여기는 그대가 올 곳이 아니니.
luvericha	-	…….
deus	-	봉인을 빼앗겼다고? 어처구니가 없군. 그동안 무슨 일이 일어났는지 똑바로 이야기하게.
reina	irritated	……알겠습니다.
*	FO		
*	FI		
blank	-	별 영양가는 없었다. 새로운 내용이라면 이번 관리자가 현 황제라는 녀석에게 속아넘어가서 모든 걸 잃고 기껏 거지꼴로 대륙을 가로질러 여기까지 도망쳐왔다는 정도.
