Script#54
*	BG	Forest
*	BGM	BGM_Urgent
yeong	-	칫.
kashasty	-	무슨 일 있어요? 평소와 느낌이 다른데…….
blank	-	그런 물음 너머로 숨가쁜 외침이 들려왔다.
lucius	-	부탁받은 시간은 거의 끌었습니다! 철수할 준비를!
yeong	-	(그럴 순 없지!)
blank	-	"여러분은 적의 시선을 끌어주시오."
blank	-	그는 그렇게 말하면서 내 아비처럼 비열하게 웃었다.
eren	-	뭐해? 못 들었어?
yeong	-	지금은 기회입니다. 이대로 공격하면 거점을 점령할 수 있어요.
json	-	위험합니다. 우리에겐 내부의 병력이나 배치에 대해 어떠한 사전 정보도 없어요.
yeong	-	아까부터 입구 주변을 공격하고 빠지는 방식을 쓰고 있지만, 제대로 대응하지 못하고 있어.
yeong	-	이쪽에는 적이 거의 없을 겁니다.
blank	-	아니, 그러지 말라는 법은 없다는 사실 정도는 안다. 하지만 위험해도 상관없다.
blank	-	강함을, 가치를 증명해야 하니까.
yeong	-	싫다면 혼자라도 가죠.
lenien	-	기다려요!
*	SE	Run
reina	-	버려두고 갈 수는 없죠……!
deus	-	……하아, 난감하구먼.
*	FO
*	BG	Camp
*	FI
soldier	-	크, 허억.
blank	-	마지막 보초병까지 손쉽게 제압했다. 이제 적 지휘부만 찾아서 무너뜨리면 끝이다.
lenien	-	잠깐, 기다려요. 이 정도로 텅 비었다는 건 오히려 이상해.
ratice	-	강력한 에테르가……
luvericha	-	저쪽!
*	SE	Shield
blank	-	에테르의 흐름에 민감한 마법사들이 이상현상을 감지했을 때는, 이미 늦었다.
karldrich	-	젠장, 막아!
eren	-	주문이 진행되는 속도가 너무 빠르다고!
*	SE	SeasonWind
blank	-	온 세상을 빨아들일 듯 거대한 폭풍이, 길 앞의 모든 것을 산산조각내며 이쪽으로 짓쳐들고 있었다.
*	SE	Run
triana	-	칫……!
json	-	이봐, 너……
blank	-	녀석은 선봉에 있던 내 앞을 가로막고, 가장 단단한 얼음 정령을 불러내 몸에 휘감은 채 자세를 잡았다.
reina	-	아, 아아……
eugene	-	이봐, 그건 아무리 봐도 무리라고! 이쪽으로……!
reina	-	안 돼----------------!!!!!!!!!!
*	SE	Fire
blank	-	누가 봐도 겁에 질린 표정으로, 한 순간만에, 눈앞의 폭풍과 맞먹을 만한 크기의 불덩이를 보이지 않을 만한 속도로 쏘아보냈다.
*	SE	Bomb
blank	-	두 개의 맹렬한 기세는, 이쪽을 집어삼키기 직전에 몇 발짝 앞에서 충돌하여 폭발하고, 구덩이만 남긴 채 사라졌다.
*	SE	Fall
blank	-	그리고, 레이나 핀토스는 그 자리에서 정신을 잃고 쓰러졌다.
*	Script	Scene#28-1
