Scene#3-1				
*	BG	Forest		
*	BGM	BGM_Prelude	
*	Glos	콜로헤임1
blank	-	<color=yellow>제국력 518년 1월 20일, <color=red>콜로헤임</color> 동부 숲지대</color>
yeong	-	(계약은 끝났다.)
blank	-	레이나 핀토스는 아마 죽었겠지. 살았더라도 더 이상 귀족으로 살아가지 못한다.^그렇다면 약점을 쥔 사람은 이제 없고, 자유의 몸이 된 것이다.
yeong	-	(……이제 어떻게 하지?)
blank	-	용병으로 살 때의 장점은 뭐든 시키는 일만 하면 된다는 것이다.^방향을 정하는 건 너무 어려운 일이니까.
triana	-	…….
yeong	-	(그러고 보니 이 녀석이 있었군.)
blank	-	연회장에서 목격한 광경은 직접 보고도 믿기 힘들었다.
*	FO	0.3
*	BG	PartyRoom
*	Gray
*	FI	0.3
triana	-	다 꺼져! 날 내버려 두라고--------!!!
*	FO	0.3
*	BG	Forest
*	Colorful
*	FI	0.3
*	App	left	yeong
*	App	right	triana
blank	-	평소 저택에서 지낼 때는 하는 일이 전혀 없어서 왜 이런 녀석이 공작가의 가신인지 의문이었는데, 위험에 처하자 가만히 선 채로 주변 적들을 전부 쓰러뜨렸다.	
blank	-	그래서 포위망에 빈틈이 생긴 덕분에 지금 이렇게 살아 있다.
yeong	-	정신 차려, 우린 지금 도망자 신세야.
yeong	-	(상황에 대한 자각이 전혀 없나. 이래서야 전혀 쓸모가 없군.)
blank	-	다시 팔을 붙잡고 앞으로 잡아당기자 불규칙한 보폭으로 이끌려 왔다.^그저 쓰러지지 않기 위해 힘이 가해지는 대로 성의없이 내딛는 걸음.	
*	Glos	루아 왕국1
yeong	-	일단 유니티 제국은 위험하니 벗어나야 해.^그러려면 자바든 <color=red>루아</color>든 일단 동쪽으로 가야겠지.	
blank	-	아까부터 계속 말을 걸었지만, 반응은 없다.
yeong	-	듣고 있는 거야?
*	BGM	BGM_Urgent
*	SE	FireBall
blank	-	순간 그의 오른팔에서 불그스름한 빛무리가 뿜어져 나왔다.^연회장에서 본 것과 같은 형태.	
*	SE	Bomb	
*	Quake
blank	-	반사적으로 고개를 움츠렸지만 붉은 빛은 머리를 한참 비껴나가 근처의 풀숲에 떨어졌다.
blank	-	그러자 풀숲이 산산이 부서지고 그 뒤에 숨어있던 적들이 나타나 우리를 에워쌌다.
eichmann	-	흥, 제법 감이 좋군! 하지만 이번엔 도망치지 못할 거다.
*	SE	PullSword
blank	-	나는 차고 있던 도검을 신속히 뽑아 경계 태세를 취했다.
yeong	-	칫……!
json	-	……시작해.	
blank	-	지휘자가 명령하자, 적들은 일제히 이쪽으로 달려들었다.
*	Battle	31
