Script#4-1			
*	BG	Village	
*	BGM	BGM_Urgent
blank	-	<color=yellow>제국력 518년 1월 21일, 콜로헤임 교외 마을</color>
*	SE	BattleCry
lucius	-	(음?)
blank	-	기껏해야 마차 한 대가 간신히 지나갈 만한 크기의 마을 중앙 도로에서 난데없는 추격전이 벌어지고 있었다.
worker	-	저놈입니다!
soldier	-	잡아랏! 이 도둑놈!
?karldrich	-	이 자식들, 내가 인민의 물건을 훔쳤다니 무슨 터무니없는 모함을 하는 거야?!
?tien	-	……말이 안 통하니 도망을 돕는 게 낫겠군.^이 장치로 움직임을 빠르게 해 드리죠.
?karldrich	-	오오, 동무는 뉘신지 모르겠으나 고맙소. 기회가 되면 은혜는 반드시 갚으리다.
lucius	-	(누명이라고? 하지만 저기에 끼어들면 내 위치가 알려질 텐데…….)
blank	-	순간, 어릴 때부터 나를 단련시켰던 아버지의 말이 떠오른다.
blank	-	“힘은 그것을 올바르게 쓸 수 있는 사람에게만 자격이 있다.^자신만을 위해 사용하는 자는 자격이 없다.”
lucius	surprised	(억울한 사람을 그냥 지나치려 하다니, 내가 무슨 짓을?^이미 부와 명예를 잃었는데 신념마저 잃으면 내게 무엇이 남는단 말인가.)
blank	-	그렇게 생각하고 다가가던 나를 보고, 상대는 반색을 하며 달려들었다.
?karldrich	-	오호라, 하늘조차 내 혁명의 길을 돕는구나!^널 동지로 맞기 위해 먼 길을 가는 와중 이런 곤란한 순간에 만나다니 말이지!
soldier	-	하스켈?!
lucius	surprised	(나를 아는 사람인가?! 그나저나 눈치도 없이……^아니, 오히려 일부러 끌어들일 생각이라는 쪽이 맞겠군.)
blank	-	생각하는 사이에 아니라고 우기기에는 이미 늦어버렸고,^그보다 거짓말을 하는 것 자체가 내키지 않는다. 어쩔 수 없지.
lucius	-	……날 아나?
?tien	-	정말 당신이 그 루키어스 하스켈이라고요?!
karldrich	-	이봐, 애먼 사람에게 누명을 씌우는 썩어빠진 제국의 개들을 이 칼드리치 님과 함께 물리치는 게 어떠냐?
lucius	surprised	(……대체 뭐 하는 사람이지?)
blank	-	덥수룩한 모습에다, 대나무 재질의 무기는 크게 만들어서 눈에 띄는 주제에 실용성도 없어 보였다.
blank	-	친한 척하며 다가오는 정체불명의 인물과 그를 도둑이라며 붙잡으려는 제국군.^전자는 아직 모르지만 후자는 확실한 적이다.
lucius	-	(확실히 평범한 좀도둑이라고 생각하긴 어렵지만…… 괜찮을까?)
*	FO
*	BG	PartyRoom
*	Gray
*	FI
blank	-	불과 며칠 전, 레이나 핀토스와 함께 황제의 함정을 빠져나간 그날.
*	SE	Slash
blank	-	살아남기 위해 수많은 적을 베고 또 베었다.^결코 그것이 부끄럽거나 잘못이라고는 생각하지 않지만.
*	SE	Pierce
blank	-	그날 내 손에 사라진 목숨들이, 그런 식으로 죽어야 할 정도의 악인이었는지는 도저히 확신할 수 없다.
*	SE	Run
blank	-	단지 명령을 따랐다는 이유로 죽어야 한다면 그것은 불합리하지 않은가?
*	FO
*	BG	Village
*	Colorful
*	FI
lucius	-	(이런 작은 마을의 경비병 정도라면 손대중으로 쫓아보낼 수 있지 않을까?)
lucius	-	……일단 도와주지. 거짓말이라면 대가를 치러야 할 거다.
?tien	-	훗, 물론이죠.
karldrich	-	좋아, 잘 생각했어. 네 명성은 익히 들었으니 뒤는 맡기마.
soldier	-	특별 수배자다! 시간을 끌 테니 지원을 요청해라!
soldier	-	이봐 짐승 놈들, 구경만 하지 말고 네놈들도 도와! 잡으면 인생 피는 거라고!
worker	-	오오……!
lucius	-	(이런, 상황이 점점 복잡해지는데.)
*	Battle	41
