Script#8			
*	BG	Village	
*	BGM	BGM_Solve	
tien	-	여기부터는 안전한 것 같군요.
tien	-	다시 보게 될지는 모르겠지만 내 이름은 티엔입니다.^그럼 난 바쁘니 이만.
*	Disapp	tien
blank	-	그는 녀석들을 따돌리자마자 자기 이름만을 남기고 황급히 사라졌다.
lucius	-	……그럭저럭 괜찮은 솜씨군. 나를 왜 찾아왔다고 했지?
karldrich	-	이봐, 하스켈. 넌 체제에 대해 어떻게 생각하냐?
blank	-	질문에 올바르게 대답하지 않고 자신이 궁금한 것부터 되묻다니.^마음에 드는 성품은 아니지만 그렇다고 해서 상대와 똑같이 행동할 이유는 없다.
lucius	-	(체제, 인가.)
*	Glos	루키어스 하스켈1
blank	-	3년 전 루시안의 장례식이 끝나자마자,^<color=red>나는 황제에게 핀토스 공작가를 고발했다.</color>
blank	-	동생의 죽음에 대한 진상이 밝혀지고,^레이나 핀토스가 정의대로 처벌받게 하기 위해.
lucius	-	(나는 사실을 알렸을 뿐이지만, 결과적으로는 두 가문을 몰락시킬 핑계를 황제에게 갖다바친 셈인가.)
blank	-	황제가 추진하던 통일 전쟁에 우리가 반대해왔던 건 사실이지만,^이렇게 비열한 방식으로 끝내버리다니.
lucius	-	황제는 제국에 언제나 신의를 지켜 온 우리 하스켈 가문을 배신했다.^처단하고 새 황제를 세울 수밖에.
karldrich	-	허, 그런 말을 아무렇지도 않게 하다니 겁도 없구만. 마음에 드는데?
lucius	-	황제가 먼저 나를 적대했고 죽일 계획까지 세웠다.^설령 내 말이 그의 귀에 들어간들 달라질 건 없지.
karldrich	-	좋아, 기백은 훌륭해. 하지만 난 황제 한 사람이 아니라 유니티 제국 자체에 대해 물은 거다.
lucius	-	뭐라고?
karldrich	-	쳇, 어리둥절한 표정 봐라. 애초에 금수저 놈이 구조에 대한 깊은 통찰을 할 수 있을 거라곤 기대하지도 않았다만.
karldrich	-	하지만 사상가로서의 소양이 부족해도 혁명 전사로서의 쓸모는 있는 법. 제국이라는 공공의 적을 향해 힘을 합치는 게 어떠냐? 
lucius	-	글쎄, 넌 한 명이고 실력도 특출하진 않아.^내 싸움에 그다지 도움이 될 것 같지는 않군.
karldrich	-	웃기는 소리! 나는, 우리의 혁명은 혼자가 아니라고.
karldrich	-	널 믿을 수 있을 때까지 자세한 걸 알려주진 않겠지만,^우리와 한편이 되면 절대 후회하지 않을 걸?
blank	-	믿음이 가는 말은 아니지만, 설령 이용당한다 해도 더 잃을 것도 없다.^속는 셈치고 믿어보는 수밖에.
lucius	-	……그럼 따라오든지. 나는 도피 중이라 길이 급하니 알아서 하도록.
karldrich	-	뭐야, 어디로 갈 생각인데?
lucius	-	가문의 옛 영지인 마뉴부르크에 믿을 만한 사람이 있어.^그분을 찾아가 당분간 몸을 숨길 계획이다.
*	Era
