Scene#5-1
*	BG	City	
*	BGM	BGM_Normal	
blank	-	<color=yellow>제국력 518년 1월 22일, 러브레이스 후작 저택</color>
bianca	-	(이번엔 반드시……!)
blank	-	며칠에 걸친 출장에서 돌아오자마자,^휴식도 마다하고 다음 날 새로운 임무에 자청해서 나섰다.
blank	-	러브레이스 후작가. 국내 정세를 아는 사람이라면 모를 수가 없는 이름이다.^탁월한 사업 능력으로 최근 급격히 떠올랐으니까.
blank	-	이번 임무는 바로 그들의 저택.^우리는 저택 앞에 도착해 작전 실행 직전 준비 상태를 점검했다.
grenev	-	어우 야, 이건 엄청난데. 핀토스 녀석들보다도 으리으리하군.
*	Glos	러브레이스 후작가1
bianca	-	<color=red>러브레이스 후작가</color>의 재력은 독보적이니까 말이지.
blank	-	이번 기회에 이들과 관계를 터 두는 것도 좋을 것이다.^핏줄 같은 무의미한 것에 연연하지 않고 대의를 위할 줄 아는 이들이니까.
darkenir	-	겉으로 보이는 모습이 거창해봤자 무슨 의미가 있겠느냐.^마지막까지 믿어야 하는 혈연 관계조차 내치는 어리석은 자들인 것을. 
grenev	-	완전 농담같은 상황 아니냐?^기껏 도망쳐 왔는데 가족들한테 곧바로 밀고당하다니, 푸헤헤헷.
sepia	-	반역자의 존재는 가문의 수치입니다.^조금이라도 빨리 씻어내고 싶은 게 당연하겠지요. 
darkenir	-	아무리 그래도 그렇지……!^아니, 됐다. 이런 자리에서 따질 문제는 아니겠지.
darkenir	-	그나저나 비앙카여.^제법 멀리 파견을 나갔다가 바로 어제 돌아왔을 텐데 괜찮겠는가? 
sepia	-	건강 관리도 중요한 덕목이죠. 스스로 해야 할 일입니다. 
grenev	-	야야, 기습으로 한 놈 붙잡겠다고 집행관 넷에 요원이 몇 명인데.^쟤 상태야 좋든 나쁘든 별로 상관없잖아? 
grenev	-	하여간 부장도 참 쫄보라니까.^생포는 재미도 없는 임무인데 귀찮게스리. 
bianca	shout	노엘 님을 함부로 말하지 마! 
grenev	-	네에~ 네에~ 알겠습니다요~
bianca	irritated	……우두머리인 레이나 핀토스를 놓쳐버린 내 잘못이야.^그래서 이번엔 만에 하나까지 대비하신 거지. 
blank	-	제이선은 벌써 두 명을 발견해 한 명을 생포했다는데.
blank	-	아무것도 해내지 못한 나 자신, 그리고 그걸 비교하고 있는 스스로에게 더욱 화가 날 뿐이었다.
bianca	-	난 걱정 말라고. 그걸 너그럽게 이해해 주신 노엘 님의 은혜를 갚기 위해서라면 이 정도는……! 
*	FO		
*	Gray		
*	BG	Grassland	
*	BGM	BGM_Prelude	
*	FI		
reina	irritated	…….
blank	-	주위에 쓰러진 수십 명의 병력 앞에 레이나 핀토스는 가쁜 숨을 몰아쉬며 혼자 서 있었다.
bianca	-	(충심은 가짜라도, 실력까지 가짜는 아니라는 건가……?) 
bianca	shout	어째서 그런 능력이 있으면서 좋은 데 쓰지 않는 거야! 왜! 이 악당!
blank	-	분했다. 그 능력으로 제국의 영광에 이바지했다면 얼마나 좋았을까.^충분히 그럴 수 있었는데 대체 왜. 
reina	-	글쎄. 네가 말하는 ‘좋은 데’……. 그건 그냥 네 생각이잖아?
bianca	shout	무슨 헛소리야?!
reina	-	나도 내가 옳다고 믿는 것을 위해 싸우고 있어.^너는 무엇을 위해 그토록 충성을 다하지?
bianca	shout	반역자의 궤변 따위엔 넘어가지 않아!^제국을 위해 싸우는 게 바로 정의니까!
reina	irritated	하긴 옳고 그름이 어디에 정해져 있는 것도 아니니.^의미없는 말은 관두자고.
reina	irritated	생각이 다르면 서로 맞설 뿐. 자, 덤벼.
blank	-	바보가 아닌 이상 그딴 도발에 응할 리가.^함정과 마법진 전문인 나에게 저런 상대를 일대일로 이길 방법은 없다.
blank	-	하지만 그것을 알기에 더욱 답답했다.
*	SE	Run
bianca	shout	두고 봐! 넌 이미 수배됐어!^꼭 찾아낼 거야! 다음 번엔 절대로 안 놓칠 거라고! 
*	FO		
*	BG	City	
*	Colorful		
*	BGM	Epic_Monarch	
*	FI		
*	App	left	bianca
blank	-	레이나 핀토스의 헛소리가 마음에 걸렸지만,^반역자의 말이니 분명 틀렸을 것이다…… 그렇겠지?
darkenir	-	좋다, 준비가 되었으면 가자꾸나.
*	Battle	51
