Script#16			
*	BG	RockMountain	
*	BGM	BGM_Urgent	
*	SE	ControllerGrawl	
lenien	-	떨어져요!
blank	-	공격 주문을 연습용 표적이 아닌 실제 생물에게 쓰는 건 상당한 용기가 필요한 일이었고, 움직이는 목표를 겨냥해 적절한 위력으로 발사하는 것도 까다로웠다.
*	BGM	BGM_Normal
blank	-	하지만 처음이 어렵지 점점 익숙해지자 할 만하다는 느낌이었다.
*	Glos	범용 주문1	
reina	-	오, 처음 보는 주문인데 빠르고 효율적이네요.^<color=red>범용 주문</color>이 아닌가 보죠?
lenien	-	어…… 뭐어, 그렇죠.
reina	-	……?
blank	-	스스로 발견한 주문에 대한 칭찬은 마법사에게 할 수 있는 최고의 찬사지만, 나로서는 여러 가지가 뒤섞인 심정이라 딱히 대답할 생각은 들지 않았다.
lenien	-	(전투용 주문을 마지못해 개발할 때만 해도 평생 써먹을 일이 없을 줄 알았는데…….)
blank	-	얼마 전까지는 심오한 이론만 아름답게 여기고 실용성에 치중한 연구는 자질구레하다고 생각했지만, 그 생각을 좀 수정할 수밖에 없었다.
blank	-	그 주문들이 아니었으면 혼자서 대륙을 횡단하는 건 엄두도 못 냈을 테니까.
reina	-	이 정도면 충분히 모았으니 이만 돌아가죠.
*	FO		
*	BG	LibraryCrystal	
*	BGM	BGM_Pintos	
*	FI		
blank	-	마법진의 꼭지점에 있는 빈 칸에 새로운 수정을 끼우자 거대한 장치가 빛을 발하기 시작했다.
blank	-	레이나 핀토스는 길게, 짧게를 조합하여 한 글자씩 신호를 입력했다.
lenien	-	(국제 표준 통신 체계와 다른데? 암호인가?)
reina	-	기사들에게는 이 지점 근처에서 만나자고 보내뒀어요.
reina	-	신호를 받을 수 있는 상태인지, 받더라도 실제로 여기까지 올지는 우리가 어떻게 할 수 없는 일이지만.
lenien	-	그러면 무작정 기다리는 건가요?
reina	-	아뇨. 그동안 모나폴리에 있는 핀토스 저택에 다녀오도록 하죠.
lenien	-	네? 모나폴리에서 도망쳐 나왔다고 하지 않았어요? 다시 돌아가는 건가요?
reina	-	꼭 해야 할 일이 있거든요. 싫다면 안 따라와도 상관없어요.
lenien	-	음, 그렇게 말하니 그게 뭔지 궁금해지는데요.
reina	-	……뭐, 지금 상황엔 숨길 의미도 없겠군요.
reina	-	핀토스 저택에 쌓인, 선조들이 수 세기에 걸쳐 연구한 자료들…… 숨겨진 장치도 많으니 벌써 전부 찾아내진 못했을 거예요. 되찾아야죠.
lenien	-	그거, 우리 둘이서 다 들고 올 수 있는 정도인가요?
reina	-	최대한 할 수 있는 만큼 가져오고…… 그 이상은 불태워야죠. 그걸 황제에게 넘겨줄 수는 없으니까.
*	Era
