Script#8-1			
*	BG	Forest	
*	BGM	BGM_Sad	
blank	-	<color=yellow>제국력 518년 1월 25일, 콜로헤임 교외 숲지대</color>
blank	-	꺾여 있는 잔가지 아래에 아직 발자국이 선명하게 남아 있었다.
json	-	(발생한 지 며칠 지나지 않은 흔적이 분명하다.^방향을 보면 자신의 봉토인 셀리안 방향으로 이동하고 있군.)
blank	-	나는 계속해서 루키어스 하스켈을 뒤쫓고 있다.^아무 저항 없이 붙잡힌 소년을 데리고.
json	-	너희들의 음모는 이미 실패했다.^루키어스 하스켈의 행방에 대해 아는 게 있나? 말하는 게 유리할 거야.
triana	-	…….
json	-	(루키어스 하스켈을 붙잡아서 제국에 넘길 생각은 없지만……)
*	FO		
*	BG	PartyRoom	
*	Gray		
*	FI		
blank	-	<color=yellow>제국력 518년 1월 18일, 황궁 연회장</color>
json	-	(정황상 그들이 수상한 건 사실이지만, 확신하기에는 증거가 부족해.)
json	-	(오히려 재판도 거치지 않고 가문을 몰살시킨다는 결정이 훨씬 더 수상하다.)
json	-	(이 나라의 지배자들이야말로 남몰래 당당하지 못한 짓을 하고 있지 않던가?)
*	SE	Gun	
kashasty	-	그만두셔요! 여러분은 무언가 잘못 알고 있사오니!
json	-	(……나는 왜 이 일을 하고 있지?)
*	SE	Slash	
blank	-	그 의문을 깨부수고 싶었다.^던진 칼날은 허공을 가르고 상대의 손에 정확히 꽂힐 뿐.
*	SE	Pierce	
kashasty	surprised	윽……!
*	SE	DropMetal
blank	-	상대는 들고 있던 무기를 떨어뜨리고 주저앉았다.
json	-	(뻔한 공격조차 못 피하는군. 실전에 대한 훈련도 부족해.)
json	-	(이런 녀석들을 데리고 반역을 한다니, 그럴듯한 이야기조차 못 된다.)
json	-	이쪽은 이미 끝났다. 각자 흩어져서 다른 곳을 수색해.
eichmann	-	알겠습니다!
json	-	(……활약을 기대한다고?)
json	-	(형은 마음에도 없는 말을 잘도 했지.^자기보다 못난 나를 언제나 거만하게 내려다보던 주제에.)
kashasty	surprised	…….
blank	-	인간은 자신의 죽음 앞에서 무엇을 느낄까.
blank	-	두려움? 후회? 절망? 분노?^눈앞의 상대는 그 모든 것이 뒤섞인 표정으로 나를 올려다보고 있었다.
json	-	맞은 건 손이었지.
kashasty	surprised	네?
json	-	걸을 수 있나? 아니, 달릴 수 있으면 더 좋겠는데.
json	-	원래 있던 연회장으로 돌아가. 바로 옆에, 황족 전용 대기실이 붙어있을 거야.^지금은 그곳에 아무도 없지.
blank	-	그깟 모나드, 어차피 시체나 마찬가지인데 아무려면 어떤가.
json	-	거기에는 만일을 대비한 비상 탈출 통로가 있어.^가운데 거울을 깨부수면 뒤에 공간이 있지.
blank	-	본래는 친위국 집행관이어도 알아서는 안 될 정보.^하지만 나는 알고 있었고, 그걸 '반역자'에게 알려주어 탈출을 도왔다.
kashasty	-	어째서 제게 그런 걸 알려주시는 거죠?
json	-	……흥, 그저 내키는 대로 행동하는 것뿐이다.^가다가 다른 녀석한테 잡히면 그땐 못 도와주니까 알아서 하라고.
*	SE	Bomb	
eren	-	(……!)
*	SE	Run	
luvericha	-	(……!)
blank	-	멀리서 어울리지 않는 정장 차림의 꼬마와 원피스를 입은 여자가 강화 마법진을 겹쳐 설계한 황궁 벽을 깨부수고 빠져나가는 모습이 보였다.
json	-	(적어도 몇 명쯤은 살려보낼 수 있겠군.)
*	FO		
*	Colorful		
*	BG	Forest	
*	FI		
blank	-	녀석을 안심시키기 위해서는 부하들이 듣지 못하는 곳에서 따로 이야기를 할 필요가 있었다.
json	-	이봐, 포로. 잠깐 이쪽으로 와.
*	Battle	81
