Script#14			
*	BG	Forest	
*	BGM	BGM_Solve
blank	-	전투 방식이 완전히 간파되어 당황한 그들은 곳곳에서 비명과 선혈을 내뿜으며 쓰러졌다.
elvenElementalist	-	악독한 차별주의자 놈들! 우리의 고향을 빼앗은 것도 모자라 새로운 터전까지 빼앗아야 직성이 풀린단 말이냐!
json	-	(표준어를 할 줄 아는 자가 있었나?)
blank	-	손을 들어 부대원들을 제지했다.
json	-	이제야 대화를 할 생각이 들었나보군.
elvenElementalist	-	흥, 목에 칼을 들이대고 하는 것도 대화라면 말이지.
json	-	무의미한 싸움을 할 생각은 없다. 물러나라.
elvenElementalist	-	뭐라고? 무기를 들고 우리의 영역까지 쳐들어온 건 네놈들이 아니냐!
blank	-	악을 쓰는 듯한 그 목소리에 순간 정신이 퍼뜩 들었다.
json	-	(설마, 지난 겨울에 보냈던 임무가……)
*	FO
*	BG	MeetingRoom
*	BGM	BGM_Prelude
*	Gray
*	FI
blank	-	<color=yellow>제국력 517년 12월 9일, 유니티 제국, 모나폴리, 친위국장 집무실</color>
sylvie	-	단일 수정의 저장량을 높이기 위한 에테르 압축 기술 말인데,^원리는 거의 확립했지만 실용화하기엔 문제가 있어.
blank	-	절차상으로는 연구과장이 친위국장에게 현황을 보고하는 자리.
blank	-	하지만 형식도 없고 기록도 남지 않는다.^애초에 연구에 대해 알아서는 안 되는 내가 이 자리에 동석해 있으니까.
python	-	원리는 알아냈는데 못 만든다고? 무슨 소리야?
sylvie	-	연금술 학회에 낸 결론은 인간보다 마력량이 월등한 생물을 촉매로 쓰라는 거니까 굴러다니는 평민들을 주워와도 소용없다고.
python	-	뭐어…… 기술적인 문제는 잘 모르겠군.^필요한 건 되는 데까지 지원해줄 테니 어떻게든 해봐.
sylvie	-	그럼 요정을 끌고 오든 괴수를 생포하든 부하들을 굴려서 소재를 구해오라고 해. 집행부 애들 평소에 놀잖아.
blank	-	논다는 건 지나친 표현이다. 겁도 없이 황궁 근처에서 문제를 일으키는 자가 없으니 출동할 일이 생기지 않을 뿐, 평소 일과 시간은 항상 훈련이니까.
json	-	(……별로 중요한 건 아니니 굳이 지적할 필요는 없겠지.)
blank	-	따져봤자 괜히 한소리 더 들을 뿐이니 끼어드는 건 바보짓이다.
*	Glos	툼나2
python	-	그나저나 <color=red>황제</color>의 상태는 좀 어때?
sylvie	-	완전 너덜너덜해. 엉망진창이고 제정신이 아니야.
blank	-	소파에 드러누워서 누가 듣는다면 황실 모독으로 중죄를 받을 발언을 내뱉지만 문제삼는 사람은 없었다.
python	-	이쪽에 정신적으로 의존하게 만들었다면 다루기는 쉽겠군.
sylvie	-	앞으로 조금만 부추기면 전쟁을 일으키는 건 시간 문제니까, 있는 건 전부 털어서 투자해. 군수품 생산에 쓸 수 있는 시설이나 광산 같은 것 위주로.
json	-	……괜찮은 거야?
