Script#18			
*	BG	City	
*	BGM	BGM_Urgent	
*	SE	PullSword
sepia	-	소용없다.
*	SE	Fire	
blank	-	레이나 핀토스가 쏘아보낸 불꽃을 아이린이 칼등으로 막아냈다.
reina	shout	칫, 대체 어떻게 알고 찾아온 거지……!
blank	-	이미 상당한 시간 동안 대치 상태로 지루한 공방전이 오고갔다.
blank	-	그리고 여기가 모나폴리 한복판인 이상, 시간을 끌면 유리한 건 이쪽이다.
arcadia	-	(곧 지원군이 오겠지.)
blank	-	그들은 도망칠 수밖에 없겠지만, 등을 보이는 순간 우리의 공격을 방어하지 못하게 될 것이다.
lenien	-	……곤란하군요.
blank	-	핀토스의 일행인 이 자는 정체를 알 수 없었다.^내가 가진 정보에 따르면 핀토스 소속은 아니다.
sepia	-	순순히 받아들이는 게 편할 것이다.^너희 사악한 무리에게 걸맞는 파멸이 기다리고 있으니.
blank	-	아이린은 어떠한 생각도 개입시키지 않고, 가장 확실하게 제압할 방법을 선택했을 것이다.
arcadia	-	(그리고, 나는 아이린을 지키는 게 최우선일 뿐.)
lenien	-	엇?
blank	-	정체불명의 적은 내 뒤에 뭔가 있다는 듯이 빤히 바라봤다.^내가 뒤를 돌아볼 때 허를 찔러 공격하려는 함정인가.
arcadia	-	유치한 술수로군. 고작 그 정도 수준으로…….
*	SE	Shield
blank	-	그러나 실제로 뒤에서 상당한 규모의 에테르 응집이 느껴졌다.
blank	-	나는 황급히 말을 끊고 뒤쪽을 확인했다.
?ratice	-	…….
*	SE	EtherMissile
blank	-	새로 나타난 사람은 그 빈틈을 찌르는 공격을 쏘아 보냈다.
arcadia	-	큭……!
blank	-	팔다리가 마음대로 움직이지 않아서 당장 교전을 지속하기는 어려웠다.
sepia	-	무엄하다! 누가 감히 공무 집행을 방해한단 말이냐!
blank	-	어느 새 적들은 시야에서 벗어났다. 뒤쪽에서 나타났던 정체불명의 마법사도 군중 속에 섞여들어가 찾을 수 없게 되어버렸다.
blank	-	하지만, 그까짓 것 놓친다 한들 아무렴 어떻겠는가.
*	Era
