ResultType	reqCount	Reward	Name	Action	Actor/Target/Etc					
Spawn	3	0	3페이즈 적 스폰1	Phase	10	stel-NormalF	3	5/14	LeftDown	6/14	LeftDown	7/14	LeftDown
Spawn	3	0	3페이즈 적 스폰2	Phase	10	stel-NormalW	3	6/11	RightUp	7/9	RightUp	9/11	RightUp
Spawn	5	0	5페이즈 적 스폰	Phase	4	stel-NormalM	6	3/19	LeftDown	3/21	LeftDown	4/20	LeftDown	8/17	LeftDown	9/18	LeftDown	10/19	LeftDown
Spawn	7	0	7페이즈 적 스폰1	Phase	10	stel-NormalF	3	4/18	RightUp	5/18	RightUp	6/18	RightUp
Spawn	7	0	7페이즈 적 스폰2	Phase	10	stel-NormalW	3	10/22	LeftUp	11/21	LeftUp	11/19	LeftUp
Win	25	30	수인족 노동자를 무력화	Neutralize enemy worker	Neutralize	Any	Enemy				
Win	1	30	수인족 장로를 무력화	Neutralize enemy elder	Neutralize	Any	Name	1	stel-elder		
Lose	Target	0	모든 출전 캐릭터 무력화	All player characters get neutalized	Neutralize	Any	PC				
Lose	10	0	10페이즈 경과	10 phases over	Phase						
Bonus	1	10	출전 캐릭터가 이탈하지 않음	All player characters alive	Neutralize	Any	PC	Reverse			
Bonus	1	20	출전 캐릭터가 피해를 입지 않음	No player character gets damage	Damage	Any	PC	Reverse			
Bonus	1	-6	적 처치	Kill enemy	Kill	PC	Enemy	Repeat			
Bonus	1	4	한번에 2명 이상의 적 공격	Attack 2 or more enemies with one casting	MultiAttack	2	PC	Any	Repeat
Script	1	0	Furry	Start		
Info	Scene#10-2	One	One
