NameInCode	InitPosotionX	InitPositionY	InitDirection	
stel-NormalW	9	1	RightUp	0
stel-NormalW	10	2	RightUp	0
stel-NormalW	11	2	RightUp	0
stel-NormalF	5	6	LeftDown	0
stel-NormalF	6	6	LeftDown	0
stel-NormalF	7	6	LeftDown	0
stel-NormalM	2	1	RightDown	0
stel-NormalM	2	2	RightDown	0
stel-NormalM	3	2	RightDown	0
stel-NormalM	3	3	RightDown	0
stel-elder	7	21	LeftDown	0
selected	6	2	RightUp	0
selected	6	3	RightUp	0
selected	6	1	RightUp	0
selected	7	2	RightUp	0
selected	7	3	RightUp	0
selected	7	1	RightUp	0
selected	8	2	RightUp	0
selected	8	3	RightUp	0
selected	8	1	RightUp	0
