W0406	W0405	W0400	W0402	M0202	M0203	W0403	W0403	M0203	M0203	M0204	W0404	W0404	-----	-----	-----
W0404	W0400	W0402	M0203	W0403	W0403	W0403	W0403	M0203	M0204	W0404	P0404	P0404	P0404	-----	-----
W0400	W0402	M0203	W0403	W0403	P0403	P0403	P0403	M0203	W0403	P0404	P0404	P0404	P0404	W0304	-----
W0402	M0203	W0403	W0403	P0403	P0403	P0403	P0403	P0403	W0403	P0404	P0404	P0404	P0404	W0304	-----
M0202	M0203	W0403	W0403	P0403	P0403	P0403	P0403	P0403	M0203	W0404	P0404	P0404	W0304	W0304	P0404
M0202	M0202	M0203	W0403	W0403	P0403	P0403	P0403	M0203	M0203	W0404	W0404	W0404	W0304	W0304	P0404
M0202	M0202	W0401	M0203	W0403	M0203	M0203	M0203	M0203	M0201	P0402	P0402	P0402	W0302	P0404	P0404
M0202	W0401	W0401	F0400	P0200	P0200	M0201	M0201	M0201	M0201	M0201	P0402	P0402	W0302	P0402	P0404
W0401	W0401	F0400	F0400	F0400	F0400	P0200	M0201	M0201	F0400	F0400	P0402	W0302	W0302	P0402	P0402
M0201	M0201	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	W0302	W0302	P0402	P0402	M0202
F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	W0100	W0100	W0402	M0202	M0201	M0201
F0400	F0400	P0400	P0400	P0400	P0400	P0400	P0400	F0400	W0100	W0100	F0400	M0201	M0201	W0401	W0401
-----	F0400	P0400	P0400	P0400	P0400	P0400	P0200	W0100	W0100	F0400	F0400	M0201	M0201	W0401	W0401
-----	F0400	F0400	P0400	P0400	P0400	W0100	W0100	W0100	W0100	F0400	M0201	M0201	W0401	W0401	-----
-----	-----	F0400	F0400	W0100	W0100	W0100	W0100	F0400	F0400	F0400	M0201	M0201	W0401	W0401	-----
-----	-----	P0200	W0100	W0100	W0100	W0100	P0200	P0200	F0400	M0201	M0201	M0201	M0201	-----	-----
