NameInCode	InitPosotionX	InitPositionY	InitDirection			
reina	3	8	RightDown	0		
lenien	3	6	RightDown	0		
yeong	11	7	LeftUp	1	CurrentHP	20
boulder	5	8	LeftDown	0		
boulder	9	8	LeftDown	0		
boulder	8	7	LeftDown	0		
boulder	14	7	LeftDown	0		
boulder	8	4	LeftDown	0		
boulder	9	4	LeftDown	0		
boulder	15	4	LeftDown	0		
selected	9	6	RightDown	0
selected	9	7	RightDown	0
selected	10	5	LeftUp	0
selected	10	6	RightDown	0
selected	10	8	RightDown	0
selected	10	9	LeftUp	0
selected	11	5	LeftUp	0
selected	11	9	LeftUp	0
