codeName	InitPosX	InitPosY	InitDir	
unitySpearman01	3	1	RightUp	0
unitySpearman01	8	2	RightUp	0
agent	6	1	RightUp	0
noel	5	2	RightUp	0
door	2	6	LeftDown	0
door	6	6	LeftDown	0
PClucius	9	3	LeftDown	0
PCreina	3	3	LeftDown	0
pillar01	1	7	RightDown	0
pillar01	1	8	RightDown	0
pillar01	1	9	RightDown	0
pillar01	1	10	RightDown	0
pillar01	1	11	RightDown	0
pillar01	1	12	RightDown	0
pillar01	1	13	RightDown	0
pillar01	1	14	RightDown	0
pillar01	1	15	RightDown	0
pillar01	1	16	RightDown	0
pillar01	5	7	RightDown	0
pillar01	5	8	RightDown	0
pillar01	5	9	RightDown	0
pillar01	5	10	RightDown	0
pillar01	5	11	RightDown	0
pillar01	5	12	RightDown	0
pillar01	5	13	RightDown	0
pillar01	5	14	RightDown	0
pillar01	5	15	RightDown	0
pillar01	5	16	RightDown	0
pillar01	9	16	RightDown	0
pillar01	9	7	RightDown	0
pillar01	9	8	RightDown	0
pillar01	9	9	RightDown	0
pillar01	9	10	RightDown	0
pillar01	9	11	RightDown	0
pillar01	9	12	RightDown	0
pillar01	9	13	RightDown	0
pillar01	9	14	RightDown	0
pillar01	9	15	RightDown	0
pillar01	2	14	RightUp	0
pillar01	3	14	RightUp	0
pillar01	4	14	RightUp	0
pillar01	6	14	RightUp	0
pillar01	7	14	RightUp	0
pillar01	8	14	RightUp	0
statue	7	10	LeftDown	0
statue	4	9	LeftDown	0
statue	2	4	LeftDown	0
statue	5	3	LeftDown	0
statue	8	4	LeftDown	0
