Stage15_Furry_Script
bianca	-	비앙카	그보다, 마뉴부르크는 이런 우범지대를 미리 정리하지도 않고 뭘 한 거야?
arcadia	-	아르카디아	공장을 돌리려면 일손이 있어야 하니까.
sepia	-	세피아	그렇습니다. 대전쟁 이후 끌려와 노역해 온 수인족들의 후손인 것으로 추정됩니다.
darkenir	-	달케니르	그러나 선조들과는 달리 더 이상 노동자들은 아니지. 이들이 산적이 되어 일대의 백성들에게 위협이 된지도 오래.
grenev	-	그레네브	요는, 죽여도 아무 문제 없는 타깃이란 거네?
noel	-	노엘	이곳의 수인족들이 문제가 되는 것은 사실. 그러나 단순히 이들을 토벌하기 위해 이 곳에 온 것은 아니다.
grenev	-	그레네브	물론입죠~
*	Disapp	noel
blank	-	-	대수롭지 않다는 듯이 시선을 돌리며 대답하던 그레네브는 바닥에서 무언가를 발견한다.
blank	-	-	뾰족한 걸로 바닥을 긁어 그린, 투박한 도식이다. 무슨 의미인지는 전혀 알아볼 수 없다.
*	Return
