N0503	N0503	N0503	N0503	N0503	N0503	N0503	N0503	N0503	N0503	N0503	N0503	N0503	N0503	N0503	N0503	N0503	N0503	-----	-----	-----	-----	-----
N0503	F0402	F0402	F0402	F0402	F0401	P0201	P0200	P0200	F0401	F0401	F0402	F0402	F0402	F0401	F0401	P0200	P0200	P0200	-----	-----	-----	-----
N0503	F0402	F0402	F0402	F0402	F0401	F0400	P0200	P0200	P0200	F0401	F0402	F0403	F0402	F0401	P0200	P0200	P0200	P0200	P0200	-----	-----	-----
N0503	F0402	F0402	F0402	F0401	F0400	F0400	F0400	P0200	P0200	F0401	F0401	F0402	P0400	P0400	P0400	P0400	P0400	P0200	P0200	P0200	-----	-----
N0503	F0401	F0401	F0401	F0401	F0400	F0400	F0400	F0400	P0200	P0200	P0200	F0401	P0400	P0400	P0400	P0400	P0400	P0200	P0200	P0200	F0400	F0400
P0201	P0201	P0201	F0401	F0401	F0400	F0400	F0400	F0400	F0400	F0400	P0200	P0200	P0200	P0200	P0200	P0200	P0200	P0200	F0400	F0400	F0400	F0400
P0200	P0201	P0201	P0200	F0401	F0400	F0400	F0400	F0400	F0400	F0400	F0400	P0200	P0200	P0200	P0200	P0200	F0400	F0400	F0400	F0400	F0400	F0400
P0200	P0200	P0200	P0200	P0200	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400
P0200	P0200	P0200	P0200	P0200	P0200	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400
P0200	P0200	P0200	P0200	P0200	P0200	P0200	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400
W0200	W0200	W0200	P0200	P0200	P0200	P0200	P0200	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	F0400	P0200	P0200	P0200
W0100	W0100	W0200	W0200	W0200	P0200	P0200	P0200	P0200	P0200	P0200	F0400	F0400	F0400	F0400	F0400	F0400	F0400	P0200	P0200	P0200	P0200	P0200
W0100	W0100	W0100	W0100	W0200	W0200	W0200	W0200	P0200	P0200	P0200	P0200	P0200	W0200	W0200	W0200	W0200	P0200	P0200	P0200	P0200	P0200	P0200
W0100	W0100	W0100	W0100	W0100	W0100	W0100	W0200	W0200	P0200	P0200	P0200	W0200	W0200	W0100	W0100	W0200	W0200	P0200	P0200	P0200	P0200	P0200
