ResultType	reqCount	Reward	Name	Action	Actor/Target/Etc		
Win	Target	30	결계석을 포함한 모든 적을 무력화	Neutralize all enemies including crystal	Neutralize	Any	Enemy	
Lose	20	0	20페이즈 경과	20 phases over	Phase			
Lose	Target	0	모든 출전 캐릭터가 무력화	Neutralize all player characters	Neutralize	Any	PC	
Bonus	1	24	출전 캐릭터가 무력화되지 않음	No player character get neutralized	Neutralize	Any	PC	Reverse
Bonus	4	24	4페이즈 이내에 승리	Win in 4 phases	Phase	Reverse		
Bonus	1	4	측면 공격	Side attack	SideAttack	PC	Repeat	
Bonus	1	4	후면 공격	Back attack	BackAttack	PC	Repeat	
Bonus	1	10	한번에 2명 이상을 공격	Attack multiple enemies with one skill	MultiAttack	2	PC	Any	Repeat
Script	2	0	Kill	Neutralize	Any	Enemy
Info	Scene#2-2	One	One				
