-----	-----	-----	P0900	P0900	P0900	P0900	P0100	P0100	P0900	P0900	P0900	P0900	-----	-----	-----	-----	-----	-----	-----
-----	-----	P0900	P0900	M0200	M0200	P0100	P0100	P0100	P0900	P0900	P0900	P0900	P0900	-----	-----	-----	-----	-----	-----
-----	-----	P0900	P0100	P0100	M0200	P0100	P0100	P0100	P0100	P0100	P0100	P0900	P0900	-----	-----	-----	-----	-----	-----
-----	P0900	P0900	P0100	P0100	P0900	P0900	P0900	P0900	P0900	P0100	P0100	P0900	P0900	P0900	-----	-----	-----	-----	-----
-----	P0900	M0200	P0100	P0100	P0900	P0900	P0900	P0100	P0100	P0100	P0100	P0100	P0900	P0900	P0900	P0900	-----	-----	-----
P0900	P0900	M0200	P0100	P0900	P0900	P0900	P0100	P0100	P0100	P0100	P0100	P0100	P0100	P0100	M0200	P0900	P0900	-----	-----
P0900	M0200	P0100	P0100	P0900	P0100	P0100	P0100	P0100	M0200	P0900	P0900	P0100	P0100	P0100	M0200	M0200	P0900	P0900	-----
P0900	P0100	P0100	P0100	P0100	P0100	P0100	P0100	P0100	M0200	P0900	P0900	P0100	P0100	P0100	P0100	P0100	P0100	P0900	P0900
P0900	P0100	P0100	P0900	P0900	P0900	P0900	P0100	P0100	P0100	P0900	P0900	P0900	P0900	M0200	P0100	P0900	P0100	P0100	P0900
P0900	P0100	P0100	P0100	P0900	P0900	P0900	P0900	P0100	P0100	P0900	P0900	P0900	P0900	M0200	P0100	P0900	P0100	P0100	P0900
P0900	P0900	P0100	P0100	P0900	P0900	P0900	P0900	P0100	P0100	P0100	P0900	P0900	P0900	P0100	P0900	P0900	P0100	P0100	P0900
-----	P0900	M0200	M0200	P0100	P0900	P0900	P0900	P0100	P0100	P0100	P0100	P0100	P0100	P0100	P0900	P0900	P0100	P0100	P0900
-----	P0900	P0900	M0200	P0100	P0100	P0900	M0200	M0200	P0100	P0100	P0100	P0100	P0100	P0100	P0900	P0900	P0100	P0100	P0900
-----	-----	P0900	P0900	P0100	P0100	P0100	P0100	P0100	P0100	P0100	P0100	M0200	M0200	P0100	P0100	P0100	P0100	P0900	P0900
-----	P0900	P0900	P0900	P0900	P0900	P0100	P0100	P0100	P0100	P0100	P0900	P0900	P0900	P0100	P0100	P0100	P0900	P0900	-----
P0900	P0900	P0900	P0900	P0900	P0900	M0200	P0100	P0100	P0900	P0900	P0900	P0900	P0100	P0100	P0100	P0900	P0900	-----	-----
P0900	P0900	P0900	P0900	P0900	P0900	M0200	M0200	P0100	P0900	P0900	P0900	P0900	P0100	P0100	P0100	P0900	P0900	-----	-----
-----	-----	P0900	M0200	P0100	P0100	P0100	P0100	P0100	P0900	P0900	P0900	P0100	P0100	P0100	P0900	P0900	-----	-----	-----
-----	-----	P0900	M0200	P0100	P0100	P0100	P0100	P0100	P0900	P0900	P0100	P0100	M0200	M0200	P0900	P0900	-----	-----	-----
-----	-----	P0900	P0900	P0100	P0100	P0900	P0100	P0100	P0100	P0100	P0100	P0100	M0200	P0900	P0900	-----	-----	-----	-----
-----	-----	-----	P0900	P0100	P0100	P0900	P0900	P0100	P0100	P0100	P0100	P0900	P0900	P0900	-----	-----	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	P0900	P0900	P0900	P0900	P0900	P0900	-----	-----	-----	-----	-----	-----	-----
