NameInCode	PosX	PosY	InitDirection			
asterCavalry01	8	4	RightUp	0		
asterCavalry01	15	10	LeftUp	0		
asterCavalry01	19	11	LeftUp	0		
asterCavalry01	9	16	RightUp	0		
asterCavalry01	5	20	RightUp	0		
asterArcher01	4	7	RightUp	0		
asterArcher01	11	6	RightUp	0		
asterArcher01	6	13	RightUp	0		
asterArcher01	13	13	LeftUp	0		
asterArcher01	14	21	LeftUp	0		
json	11	21	LeftUp	1	CurrentAP	-20
bush	4	6	LeftDown	0		
bush	4	8	LeftDown	0		
bush	5	6	LeftDown	0		
bush	5	8	LeftDown	0		
bush	5	13	LeftDown	0		
bush	6	7	LeftDown	0		
bush	6	12	LeftDown	0		
bush	6	14	LeftDown	0		
bush	7	12	LeftDown	0		
bush	7	14	LeftDown	0		
bush	7	17	LeftDown	0		
bush	8	13	LeftDown	0		
bush	8	18	LeftDown	0		
bush	8	19	LeftDown	0		
bush	9	19	LeftDown	0		
bush	10	5	LeftDown	0		
bush	10	6	LeftDown	0		
bush	11	4	LeftDown	0		
bush	11	7	LeftDown	0		
bush	11	13	LeftDown	0		
bush	12	5	LeftDown	0		
bush	12	7	LeftDown	0		
bush	12	12	LeftDown	0		
bush	12	14	LeftDown	0		
bush	12	21	LeftDown	0		
bush	12	22	LeftDown	0		
bush	13	6	LeftDown	0		
bush	13	12	LeftDown	0		
bush	13	14	LeftDown	0		
bush	13	19	LeftDown	0		
bush	13	20	LeftDown	0		
bush	14	13	LeftDown	0		
bush	14	19	LeftDown	0		
bush	16	10	LeftDown	0		
bush	16	11	LeftDown	0		
bush	17	10	LeftDown	0		
bush	18	7	LeftDown	0		
bush	18	8	LeftDown	0		
bush	3	7	LeftDown	0		
triana_Rest	8	22	LeftDown	0		
PCyeong	9	20	LeftUp	0
