NameInCode	InitPosotionX	InitPositionY	InitDirection			
kashasty	4	10	RightUp	1	CurrentAP	-6
unitySwordman_Start	2	11	LeftDown	0		
unitySwordman_Start	4	12	LeftDown	0		
unitySwordman_Start	6	11	LeftDown	0		
wallBright	1	2	LeftDown	0		
wallBright	2	2	LeftDown	0		
wallBright	3	2	LeftDown	0		
wallBright	4	2	LeftDown	0		
wallBright	5	2	LeftDown	0		
wallBright	6	2	LeftDown	0		
wallBright	7	2	LeftDown	0		
orchidStatue	3	4	RightDown	0		
orchidStatue	5	4	LeftUp	0		
PCgrenev	3	14	LeftDown	0		
PCdarkenir	5	14	LeftDown	0		
PCsepia	6	8	LeftUp	0		
PCbianca	1	9	RightDown	0		
